ticker,as_of,first_trade_date,history_start,history_n,entry_close,return_since_entry_pct,horizon,forecast_date,forecast_close,last_close,pct_change,model,backend,multivariate,rolling,channels
SECT_ENERGY,2026-07-28,2025-07-29,2025-07-29,261,100.0,-11.514,5,2026-08-04,88.4286,88.48584727480382,-0.065,statistical_fallback,fallback,False,False,close
SECT_FINANCIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,-2.656,1,2026-07-29,97.4427,97.34429432437071,0.101,statistical_fallback,fallback,False,False,close
SECT_FINANCIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,-2.656,2,2026-07-30,97.4333,97.34429432437071,0.091,statistical_fallback,fallback,False,False,close
SECT_FINANCIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,-2.656,3,2026-07-31,97.4272,97.34429432437071,0.085,statistical_fallback,fallback,False,False,close
SECT_FINANCIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,-2.656,4,2026-08-03,97.3941,97.34429432437071,0.051,statistical_fallback,fallback,False,False,close
SECT_FINANCIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,-2.656,5,2026-08-04,97.4691,97.34429432437071,0.128,statistical_fallback,fallback,False,False,close
SECT_HEALTH_CARE,2026-07-28,2025-07-29,2025-07-29,261,100.0,8.153,1,2026-07-29,108.1899,108.15322714777564,0.034,statistical_fallback,fallback,False,False,close
SECT_HEALTH_CARE,2026-07-28,2025-07-29,2025-07-29,261,100.0,8.153,2,2026-07-30,108.4343,108.15322714777564,0.26,statistical_fallback,fallback,False,False,close
SECT_HEALTH_CARE,2026-07-28,2025-07-29,2025-07-29,261,100.0,8.153,3,2026-07-31,109.094,108.15322714777564,0.87,statistical_fallback,fallback,False,False,close
SECT_HEALTH_CARE,2026-07-28,2025-07-29,2025-07-29,261,100.0,8.153,4,2026-08-03,108.9078,108.15322714777564,0.698,statistical_fallback,fallback,False,False,close
SECT_HEALTH_CARE,2026-07-28,2025-07-29,2025-07-29,261,100.0,8.153,5,2026-08-04,108.448,108.15322714777564,0.273,statistical_fallback,fallback,False,False,close
SECT_INDUSTRIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,5.114,1,2026-07-29,105.5669,105.11434554554107,0.431,statistical_fallback,fallback,False,False,close
SECT_INDUSTRIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,5.114,2,2026-07-30,105.8858,105.11434554554107,0.734,statistical_fallback,fallback,False,False,close
SECT_INDUSTRIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,5.114,3,2026-07-31,105.8976,105.11434554554107,0.745,statistical_fallback,fallback,False,False,close
SECT_INDUSTRIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,5.114,4,2026-08-03,105.5976,105.11434554554107,0.46,statistical_fallback,fallback,False,False,close
SECT_INDUSTRIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,5.114,5,2026-08-04,105.7843,105.11434554554107,0.637,statistical_fallback,fallback,False,False,close
SECT_INFORMATION_TECHNOLOGY,2026-07-28,2025-07-29,2025-07-29,261,100.0,1.627,1,2026-07-29,101.9344,101.6266242616637,0.303,statistical_fallback,fallback,False,False,close
SECT_INFORMATION_TECHNOLOGY,2026-07-28,2025-07-29,2025-07-29,261,100.0,1.627,2,2026-07-30,101.6902,101.6266242616637,0.063,statistical_fallback,fallback,False,False,close
SECT_INFORMATION_TECHNOLOGY,2026-07-28,2025-07-29,2025-07-29,261,100.0,1.627,3,2026-07-31,101.6939,101.6266242616637,0.066,statistical_fallback,fallback,False,False,close
SECT_INFORMATION_TECHNOLOGY,2026-07-28,2025-07-29,2025-07-29,261,100.0,1.627,4,2026-08-03,101.7402,101.6266242616637,0.112,statistical_fallback,fallback,False,False,close
SECT_INFORMATION_TECHNOLOGY,2026-07-28,2025-07-29,2025-07-29,261,100.0,1.627,5,2026-08-04,101.7362,101.6266242616637,0.108,statistical_fallback,fallback,False,False,close
SECT_MATERIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,13.099,1,2026-07-29,112.7183,113.09853036672048,-0.336,statistical_fallback,fallback,False,False,close
SECT_MATERIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,13.099,2,2026-07-30,112.6557,113.09853036672048,-0.392,statistical_fallback,fallback,False,False,close
SECT_MATERIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,13.099,3,2026-07-31,112.7378,113.09853036672048,-0.319,statistical_fallback,fallback,False,False,close
SECT_MATERIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,13.099,4,2026-08-03,112.6581,113.09853036672048,-0.389,statistical_fallback,fallback,False,False,close
SECT_MATERIALS,2026-07-28,2025-07-29,2025-07-29,261,100.0,13.099,5,2026-08-04,113.1565,113.09853036672048,0.051,statistical_fallback,fallback,False,False,close
SECT_REAL_ESTATE,2026-07-28,2025-07-29,2025-07-29,261,100.0,-2.434,1,2026-07-29,97.6747,97.56584076555805,0.112,statistical_fallback,fallback,False,False,close
SECT_REAL_ESTATE,2026-07-28,2025-07-29,2025-07-29,261,100.0,-2.434,2,2026-07-30,97.5057,97.56584076555805,-0.062,statistical_fallback,fallback,False,False,close
SECT_REAL_ESTATE,2026-07-28,2025-07-29,2025-07-29,261,100.0,-2.434,3,2026-07-31,97.5001,97.56584076555805,-0.067,statistical_fallback,fallback,False,False,close
SECT_REAL_ESTATE,2026-07-28,2025-07-29,2025-07-29,261,100.0,-2.434,4,2026-08-03,97.2839,97.56584076555805,-0.289,statistical_fallback,fallback,False,False,close
SECT_REAL_ESTATE,2026-07-28,2025-07-29,2025-07-29,261,100.0,-2.434,5,2026-08-04,97.4358,97.56584076555805,-0.133,statistical_fallback,fallback,False,False,close
SECT_UTILITIES,2026-07-28,2025-07-29,2025-07-29,261,100.0,-0.256,1,2026-07-29,99.5858,99.74440497092256,-0.159,statistical_fallback,fallback,False,False,close
SECT_UTILITIES,2026-07-28,2025-07-29,2025-07-29,261,100.0,-0.256,2,2026-07-30,99.81,99.74440497092256,0.066,statistical_fallback,fallback,False,False,close
SECT_UTILITIES,2026-07-28,2025-07-29,2025-07-29,261,100.0,-0.256,3,2026-07-31,99.8095,99.74440497092256,0.065,statistical_fallback,fallback,False,False,close
SECT_UTILITIES,2026-07-28,2025-07-29,2025-07-29,261,100.0,-0.256,4,2026-08-03,99.7673,99.74440497092256,0.023,statistical_fallback,fallback,False,False,close
SECT_UTILITIES,2026-07-28,2025-07-29,2025-07-29,261,100.0,-0.256,5,2026-08-04,99.5927,99.74440497092256,-0.152,statistical_fallback,fallback,False,False,close
