ticker,n_fail,roe_gap,roic_gap,de_gap,ev_gap,pb_gap,mca_gap,roe,roic,mktcap_to_assets,pb_ratio,ev_ebitda
ALL,3,-0.03,-0.06,0.65,0.5,-0.7000000000000002,0.04299999999999998,0.12,0.09,0.457,2.2,8.5
NKE,3,0.15,0.03,0.4,-11.0,-6.5,-2.375,0.3,0.18,2.875,8.0,20.0
UNH,3,0.1,0.03,0.30000000000000004,-6.0,-4.0,-1.1,0.25,0.18,1.6,5.5,15.0
T,3,-0.04999999999999999,-0.09,-0.19999999999999996,2.0,0.19999999999999996,0.062,0.1,0.06,0.438,1.3,7.0
JNJ,3,0.07,0.0,0.55,-5.0,-3.7,-1.5270000000000001,0.22,0.15,2.027,5.2,14.0
PG,3,0.03,0.010000000000000009,0.44999999999999996,-9.0,-6.0,-2.75,0.18,0.16,3.25,7.5,18.0
BAC,3,-0.04999999999999999,-0.06999999999999999,-0.10000000000000009,0.0,0.30000000000000004,0.397,0.1,0.08,0.103,1.2,9.0
C,3,-0.07999999999999999,-0.09999999999999999,-0.30000000000000004,2.0,0.8,0.45,0.07,0.05,0.05,0.7,7.0
COST,3,0.13000000000000003,0.010000000000000009,0.6,-19.0,-12.5,-5.071,0.28,0.16,5.571,14.0,28.0
BLK,3,0.07,0.03,0.8,-7.0,-2.0,-0.577,0.22,0.18,1.077,3.5,16.0
MSFT,3,0.19999999999999998,0.1,0.7,-16.0,-10.5,-5.9,0.35,0.25,6.4,12.0,25.0
KHC,3,-0.09,-0.09999999999999999,0.5,-0.5,0.7,0.136,0.06,0.05,0.364,0.8,9.5
XLF,3,-0.03,-0.04999999999999999,0.19999999999999996,-1.0,0.0,0.35,0.12,0.1,0.15,1.5,10.0
MO,3,0.75,0.1,-0.5,0.0,-23.5,-2.071,0.9,0.25,2.571,25.0,9.0
GOOGL,3,0.1,0.07,0.9,-9.0,-6.5,-4.5,0.25,0.22,5.0,8.0,18.0
CSCO,3,0.1,0.03,0.7,-2.0,-3.0,-1.7000000000000002,0.25,0.18,2.2,4.5,11.0
NVDA,3,0.75,0.4,0.8,-26.0,-23.5,-17.5,0.9,0.55,18.0,25.0,35.0
SATS,3,-0.15,-0.15,-1.0,1.0,0.7,0.09999999999999998,0.0,0.0,0.4,0.8,8.0
MU,3,0.010000000000000009,-0.03,0.7,2.5,-0.30000000000000004,-0.4,0.16,0.12,0.9,1.8,6.5
PSX,3,0.03,-0.039999999999999994,0.5,3.0,-0.10000000000000009,-0.25,0.18,0.11,0.75,1.6,6.0
NUE,3,0.03,-0.009999999999999981,0.7,3.0,-0.10000000000000009,-0.5,0.18,0.14,1.0,1.6,6.0
REGN,3,0.03,0.010000000000000009,0.9,-6.0,-2.5,-3.0,0.18,0.16,3.5,4.0,15.0
AMAT,3,0.19999999999999998,0.1,0.6,-7.0,-5.0,-2.3,0.35,0.25,2.8,6.5,16.0
STM,3,0.0,-0.03,0.7,0.0,-0.7000000000000002,-0.5,0.15,0.12,1.0,2.2,9.0
TDW,3,-0.04999999999999999,-0.06999999999999999,0.4,2.0,0.10000000000000009,-0.30000000000000004,0.1,0.08,0.8,1.4,7.0
MPC,3,0.07,-0.009999999999999981,0.5,3.5,-0.19999999999999996,-0.30000000000000004,0.22,0.14,0.8,1.7,5.5
VZ,3,0.05000000000000002,-0.06999999999999999,-0.8,1.5,-0.30000000000000004,0.03899999999999998,0.2,0.08,0.461,1.8,7.5
SHEL,3,-0.03,-0.04999999999999999,0.65,3.5,0.30000000000000004,-0.050000000000000044,0.12,0.1,0.55,1.2,5.5
XOM,3,0.010000000000000009,-0.03,0.75,2.5,-0.5,-0.7110000000000001,0.16,0.12,1.211,2.0,6.5
MRK,3,0.15,0.03,0.30000000000000004,-3.0,-5.0,-2.136,0.3,0.18,2.636,6.5,12.0
VIG,3,0.05000000000000002,0.0,0.4,-7.0,-2.5,-1.5,0.2,0.15,2.0,4.0,16.0
FMC,3,-0.09999999999999999,-0.10999999999999999,-0.19999999999999996,0.0,0.9,0.378,0.05,0.04,0.122,0.6,9.0
NTR,3,-0.07999999999999999,-0.09999999999999999,0.4,1.5,0.3999999999999999,-0.379,0.07,0.05,0.879,1.1,7.5
DOW,3,-0.04999999999999999,-0.07999999999999999,0.30000000000000004,1.0,0.0,-0.16700000000000004,0.1,0.07,0.667,1.5,8.0
LRCX,3,0.30000000000000004,0.15,0.5,-11.0,-6.5,-3.0,0.45,0.3,3.5,8.0,20.0
KMB,4,0.4,0.010000000000000009,-1.0,-5.0,-33.5,-2.147,0.55,0.16,2.647,35.0,14.0
ABBV,4,0.65,0.05000000000000002,-2.5,-3.0,-33.5,-1.87,0.8,0.2,2.37,35.0,12.0
CL,4,0.19999999999999998,0.03,-0.19999999999999996,-7.0,-78.5,-4.375,0.35,0.18,4.875,80.0,16.0
CVX,4,-0.009999999999999981,-0.039999999999999994,0.8,3.0,-0.19999999999999996,-0.615,0.14,0.11,1.115,1.7,6.0
CAT,4,0.25,0.03,-0.5,-4.0,-6.5,-1.5,0.4,0.18,2.0,8.0,13.0
KO,4,0.23,0.0,-0.3999999999999999,-11.0,-9.0,-2.357,0.38,0.15,2.857,10.5,20.0
DE,4,0.19999999999999998,0.0,-0.8,-3.0,-3.5,-0.55,0.35,0.15,1.05,5.0,12.0
ORCL,4,0.35,0.03,-1.5,-11.0,-23.5,-2.643,0.5,0.18,3.143,25.0,20.0
SEDG,4,-0.2,-0.16999999999999998,0.19999999999999996,-9.0,0.0,-1.5,-0.05,-0.02,2.0,1.5,18.0
XLE,4,-0.009999999999999981,-0.04999999999999999,0.5,2.0,-0.30000000000000004,-0.4,0.14,0.1,0.9,1.8,7.0
INTC,4,-0.13,-0.13999999999999999,0.5,-3.0,0.19999999999999996,-0.19999999999999996,0.02,0.01,0.7,1.3,12.0
VAL,4,-0.03,-0.06,0.30000000000000004,1.0,-0.10000000000000009,-0.4,0.12,0.09,0.9,1.6,8.0
TSLA,4,0.0,-0.04999999999999999,0.8,-46.0,-6.5,-9.5,0.15,0.1,10.0,8.0,55.0
GD,4,0.03,-0.03,0.30000000000000004,-4.0,-1.7000000000000002,-0.8999999999999999,0.18,0.12,1.4,3.2,13.0
HEI,4,0.010000000000000009,-0.03,0.4,-19.0,-5.5,-3.5,0.16,0.12,4.0,7.0,28.0
XLP,4,0.03,-0.03,0.19999999999999996,-5.0,-3.0,-1.5,0.18,0.12,2.0,4.5,14.0
XLV,4,0.010000000000000009,-0.03,0.30000000000000004,-6.0,-2.5,-1.7000000000000002,0.16,0.12,2.2,4.0,15.0
MKC,4,0.07,-0.03,0.09999999999999998,-9.0,-3.5,-1.038,0.22,0.12,1.538,5.0,18.0
LLY,4,0.4,0.15,-0.5,-26.0,-43.5,-10.071,0.55,0.3,10.571,45.0,35.0
USMV,4,0.0,-0.03,0.30000000000000004,-5.0,-2.0,-1.3,0.15,0.12,1.8,3.5,14.0
LMT,4,0.4,0.05000000000000002,-0.5,-5.0,-13.5,-1.8639999999999999,0.55,0.2,2.364,15.0,14.0
PM,4,0.5499999999999999,0.05000000000000002,-1.0,-3.0,-5.5,-2.269,0.7,0.2,2.769,7.0,12.0
SCHD,4,0.03,-0.009999999999999981,0.30000000000000004,-3.0,-1.5,-1.0,0.18,0.14,1.5,3.0,12.0
BMY,4,0.03,-0.03,-0.10000000000000009,0.5,-3.0,-0.5,0.18,0.12,1.0,4.5,8.5
PYPL,4,0.03,-0.03,0.6,-3.0,-0.5,-0.09999999999999998,0.18,0.12,0.6,2.0,12.0
DG,4,0.05000000000000002,-0.04999999999999999,0.0,-2.0,-2.5,-0.611,0.2,0.1,1.111,4.0,11.0
JPM,4,0.0,-0.03,-0.19999999999999996,-1.0,-0.30000000000000004,0.35,0.15,0.12,0.15,1.8,10.0
MCD,4,1.05,0.03,-3.0,-9.0,-13.5,-3.318,1.2,0.18,3.818,15.0,18.0
PFE,4,-0.03,-0.04999999999999999,0.4,0.0,-0.10000000000000009,-0.16500000000000004,0.12,0.1,0.665,1.6,9.0
SCHW,4,-0.009999999999999981,-0.04999999999999999,0.5,-5.0,-1.0,0.35,0.14,0.1,0.15,2.5,14.0
D,4,,,,-2.0,0.0,0.09100000000000003,,,0.409,1.5,11.0
CB,5,-0.01999999999999999,-0.04999999999999999,0.7,-1.0,-0.30000000000000004,-0.050000000000000044,0.13,0.1,0.55,1.8,10.0
TGT,5,0.1,-0.03,-0.19999999999999996,-1.0,-2.0,-0.7729999999999999,0.25,0.12,1.273,3.5,10.0
MMM,5,0.1,-0.03,-0.19999999999999996,-2.0,-2.5,-0.95,0.25,0.12,1.45,4.0,11.0
PEP,5,0.35,-0.009999999999999981,-0.6000000000000001,-8.0,-10.5,-1.7999999999999998,0.5,0.14,2.3,12.0,17.0
PLD,5,-0.06999999999999999,-0.09999999999999999,0.4,-13.0,-1.0,-0.722,0.08,0.05,1.222,2.5,22.0
O,5,-0.09999999999999999,-0.10999999999999999,-0.19999999999999996,-6.0,0.10000000000000009,-0.21399999999999997,0.05,0.04,0.714,1.4,15.0
AEP,5,-0.04999999999999999,-0.09999999999999999,-0.5,-2.5,-0.30000000000000004,0.0,0.1,0.05,0.5,1.8,11.5
SBUX,5,0.25,-0.009999999999999981,-1.5,-7.0,-10.5,-3.167,0.4,0.14,3.667,12.0,16.0
ASTS,5,-0.35,-0.3,0.5,,-3.5,-1.5,-0.2,-0.15,2.0,5.0,
RKLB,5,-0.3,-0.25,0.7,,-6.5,-2.5,-0.15,-0.1,3.0,8.0,
TDG,5,-0.15,0.0,-4.0,-11.0,-48.5,-2.5,0.0,0.15,3.0,50.0,20.0
HII,5,-0.03,-0.06999999999999999,0.19999999999999996,-3.0,-1.0,-0.5,0.12,0.08,1.0,2.5,12.0
WM,5,0.1,-0.03,-0.5,-6.0,-7.5,-1.9289999999999998,0.25,0.12,2.429,9.0,15.0
CPB,5,0.05000000000000002,-0.06,-0.5,-1.0,-1.0,-0.4,0.2,0.09,0.9,2.5,10.0
IBM,5,0.1,-0.04999999999999999,-1.0,-5.0,-5.0,-0.808,0.25,0.1,1.308,6.5,14.0
CTVA,5,-0.06999999999999999,-0.09,0.6,-5.0,-0.3999999999999999,-0.871,0.08,0.06,1.371,1.9,14.0
GIS,5,0.13000000000000003,-0.03,-0.30000000000000004,-3.0,-2.3,-0.625,0.28,0.12,1.125,3.8,12.0
DUK,5,-0.06,-0.09999999999999999,-0.5,-2.0,-0.10000000000000009,0.043999999999999984,0.09,0.05,0.456,1.6,11.0
RTX,5,-0.03,-0.06999999999999999,0.30000000000000004,-4.0,-1.0,-0.44099999999999995,0.12,0.08,0.941,2.5,13.0
CW,5,-0.009999999999999981,-0.04999999999999999,0.5,-5.0,-1.5,-1.3,0.14,0.1,1.8,3.0,14.0
DVY,5,-0.03,-0.06,0.0,-1.0,-0.30000000000000004,-0.4,0.12,0.09,0.9,1.8,10.0
SPLV,5,-0.009999999999999981,-0.039999999999999994,0.19999999999999996,-4.0,-1.5,-1.0,0.14,0.11,1.5,3.0,13.0
GSAT,5,-0.2,-0.18,0.19999999999999996,-16.0,-0.5,-1.0,-0.05,-0.03,1.5,2.0,25.0
NOC,5,-0.009999999999999981,-0.04999999999999999,0.09999999999999998,-5.0,-2.0,-1.0,0.14,0.1,1.5,3.5,14.0
ENPH,5,-0.04999999999999999,-0.06999999999999999,0.5,-13.0,-1.5,-3.5,0.1,0.08,4.0,3.0,22.0
CRWD,5,-0.09999999999999999,-0.10999999999999999,0.7,-31.0,-4.5,-11.5,0.05,0.04,12.0,6.0,40.0
PLTR,5,-0.06999999999999999,-0.09999999999999999,1.0,-36.0,-2.5,-7.5,0.08,0.05,8.0,4.0,45.0
AMD,5,-0.03,-0.04999999999999999,0.85,-19.0,-3.5,-3.5,0.12,0.1,4.0,5.0,28.0
SPR,5,-0.25,-0.2,-1.0,-6.0,0.30000000000000004,-0.30000000000000004,-0.1,-0.05,0.8,1.2,15.0
VYM,5,-0.009999999999999981,-0.039999999999999994,0.19999999999999996,-2.0,-1.0,-0.7,0.14,0.11,1.2,2.5,11.0
BKSY,5,-0.25,-0.22999999999999998,0.6,,-1.0,-1.0,-0.1,-0.08,1.5,2.5,
SPCX,5,-0.2,-0.18,0.6,,-23.5,-7.5,-0.05,-0.03,8.0,25.0,
BA,5,-0.15,-0.13,-4.0,-13.0,0.30000000000000004,-0.30000000000000004,0.0,0.02,0.8,1.2,22.0
MCHP,5,0.05000000000000002,-0.03,-0.19999999999999996,-9.0,-3.0,-1.3,0.2,0.12,1.8,4.5,18.0
VNQ,5,-0.09,-0.10999999999999999,0.19999999999999996,,,-0.5,0.06,0.04,1.0,,
MTSI,5,-0.03,-0.04999999999999999,0.6,-13.0,-3.5,-2.0,0.12,0.1,2.5,5.0,22.0
TTMI,5,-0.06999999999999999,-0.09,0.30000000000000004,-1.0,-0.30000000000000004,-0.4,0.08,0.06,0.9,1.8,10.0
DD,5,-0.09,-0.09999999999999999,0.5,-1.0,-0.30000000000000004,-0.278,0.06,0.05,0.778,1.8,10.0
SO,6,-0.039999999999999994,-0.09999999999999999,-0.6000000000000001,-3.0,-0.8999999999999999,-0.14300000000000002,0.11,0.05,0.643,2.4,12.0
NEE,6,-0.03,-0.09,-0.3999999999999999,-5.0,-1.2999999999999998,-0.31599999999999995,0.12,0.06,0.816,2.8,14.0
XBI,6,,,,,,,,,,,
IRDM,6,-0.06999999999999999,-0.09,-0.19999999999999996,-5.0,-2.0,-1.0,0.08,0.06,1.5,3.5,14.0
XLU,6,-0.04999999999999999,-0.09999999999999999,-0.3999999999999999,-3.0,-0.5,-0.5,0.1,0.05,1.0,2.0,12.0
SMG,6,-0.03,-0.06999999999999999,-0.5,-3.0,-3.0,-0.579,0.12,0.08,1.079,4.5,12.0
BX,6,,,,-9.0,-10.5,-3.75,,,4.25,12.0,18.0
VUG,6,,,,,,,,,,,
ARKK,6,,,,,,,,,,,
QQQ,6,,,,,,,,,,,
IYR,6,-0.09,-0.10999999999999999,-0.19999999999999996,-7.0,-0.5,-0.5,0.06,0.04,1.0,2.0,16.0
