ticker,sector,in_portfolio,defensive_value_index,growth_tech_index,growth_sleeve,roe,roic,debt_to_equity,interest_coverage,earnings_stability,ev_ebitda,pb_ratio,mktcap_to_assets,roe_score,roic_score,leverage_score,stability_score,coverage_score,buffett_roe,buffett_roic,buffett_leverage,buffett_pass,quality_score,ev_score,pb_score,mca_score,trifecta_ev,trifecta_pb,trifecta_mca,trifecta_pass,value_score,debt_to_assets,equity_multiplier,leverage_flag,leverage_score_adj,composite_score,w_current,suggested_w_max,sizing_action,decision,adv_dollar_21,adv_shares_21,last_close,as_of,liquidity_score,illiquid,factor_quality,factor_value
CAG,Consumer Staples,True,True,False,,0.1,0.07,0.9,4.0,0.65,8.5,1.1,0.352,0.4,0.28,0.55,0.65,0.2666666666666666,False,False,True,False,0.4106666666666667,1.0,1.0,1.0,True,True,True,True,1.0,0.474,1.9,mixed-assets,0.0,0.6759,0.1334,0.08,hold,INCLUDE_VALUE,221953671.19384694,15030523.952380951,15.029999732971191,2026-07-30,0.24647887323943662,False,0.24766355140186916,0.78125
XOM,Energy,False,True,False,,0.16,0.12,0.25,30.0,0.7,6.5,2.0,1.211,0.64,0.48,0.875,0.7,1.0,True,False,True,False,0.6722499999999999,1.0,0.7777777777777778,0.0519999999999999,True,False,False,False,0.6489333333333333,0.2,1.25,,0.0,0.6618,0.0,0.08,hold,SATELLITE,2005227807.8097188,13664059.476190476,156.97000122070312,2026-07-30,0.8591549295774648,False,0.5420560747663551,0.9166666666666666
MO,Consumer Staples,False,True,False,,0.9,0.25,1.5,8.0,0.85,9.0,25.0,2.571,1.0,1.0,0.25,0.85,0.5333333333333333,True,True,False,False,0.8183333333333332,1.0,0.0,0.0,True,False,False,False,0.4,0.6,2.5,,0.0,0.6301,0.0,0.08,hold,SATELLITE,531403189.2199738,7427299.428571428,67.94000244140625,2026-07-30,0.5070422535211268,False,0.985981308411215,0.71875
DVY,Multi-Sector,False,True,False,,0.12,0.09,1.0,8.0,0.85,10.0,1.8,0.9,0.48,0.36,0.5,0.85,0.5333333333333333,False,False,True,False,0.5078333333333334,0.925925925925926,0.8666666666666667,0.4666666666666667,False,False,False,False,0.7703703703703705,0.5,2.0,,0.0,0.626,0.0,0.08,hold,SATELLITE,73832575.88256545,492946.1904761905,161.92999267578125,2026-07-30,0.09859154929577464,True,0.34579439252336447,0.6145833333333334
JPM,Financials,False,True,False,,0.15,0.12,1.2,6.0,0.8,10.0,1.8,0.15,0.6,0.48,0.4,0.8,0.4,True,False,False,False,0.544,0.925925925925926,0.8666666666666667,1.0,False,False,True,False,0.9303703703703704,0.545,2.2,levered-assets,-0.1,0.6179,0.0,0.08,hold,SATELLITE,3068561116.35978,9143881.666666666,350.8500061035156,2026-07-30,0.9014084507042254,False,0.4953271028037383,0.6145833333333334
UAN,Materials,False,False,False,,0.2,0.12,0.5,6.0,0.5,6.0,2.5,1.127,0.8,0.48,0.75,0.5,0.4,True,False,True,False,0.6115,1.0,0.5555555555555556,0.164,True,False,False,False,0.6158666666666667,0.333,1.5,,0.0,0.6135,0.0,0.08,hold,SATELLITE,7905528.046484283,97221.38095238095,127.9800033569336,2026-07-30,0.014084507042253521,True,0.6682242990654206,0.96875
BLK,Financials,False,False,False,,0.22,0.18,0.2,20.0,0.85,16.0,3.5,1.077,0.88,0.72,0.9,0.85,1.0,True,True,True,True,0.8424999999999999,0.4814814814814815,0.1111111111111111,0.2306666666666667,False,False,False,False,0.2951259259259259,0.167,1.2,,0.0,0.5962,0.0,0.05,hold,INCLUDE_QUALITY,805717453.415042,814242.1904761905,1098.3699951171875,2026-07-30,0.6408450704225352,False,0.7102803738317757,0.19791666666666666
CPB,Consumer Staples,False,True,False,,0.2,0.09,1.5,5.0,0.72,10.0,2.5,0.9,0.8,0.36,0.25,0.72,0.3333333333333333,True,False,False,False,0.5268333333333333,0.925925925925926,0.5555555555555556,0.4666666666666667,False,False,False,False,0.6770370370370371,0.6,2.5,,0.0,0.5944,0.0,0.05,hold,SATELLITE,138331885.44187963,6004785.333333333,22.079999923706055,2026-07-30,0.1267605633802817,True,0.6682242990654206,0.6145833333333334
MRK,Health Care,False,True,False,,0.3,0.18,0.7,12.0,0.84,12.0,6.5,2.636,1.0,0.72,0.65,0.84,0.8,True,True,True,True,0.8195000000000001,0.7777777777777778,0.0,0.0,False,False,False,False,0.3111111111111111,0.412,1.7,,0.0,0.5907,0.0,0.05,hold,INCLUDE_QUALITY,1043228320.6033227,8262212.142857143,129.7899932861328,2026-07-30,0.7183098591549296,False,0.8411214953271028,0.46875
BAC,Financials,False,True,False,,0.1,0.08,1.1,4.0,0.75,9.0,1.2,0.103,0.4,0.32,0.4499999999999999,0.75,0.2666666666666666,False,False,False,False,0.4226666666666666,1.0,1.0,1.0,True,True,True,True,1.0,0.524,2.1,levered-assets,-0.1,0.5825,0.0,0.05,hold,INCLUDE_VALUE,1956352974.3377976,32131489.95238095,61.72999954223633,2026-07-30,0.8450704225352113,False,0.24766355140186916,0.71875
SHEL,Energy,False,True,False,,0.12,0.1,0.35,15.0,0.75,,1.47,0.626,0.48,0.4,0.825,0.75,1.0,False,False,True,False,0.60025,0.0,1.0,0.832,False,True,False,False,0.5496,0.259,1.35,,0.0,0.5775,0.0,0.05,hold,SATELLITE,569868920.9677069,6704935.333333333,90.51000213623047,2026-07-30,0.528169014084507,False,0.34579439252336447,
DD,Materials,False,True,False,,0.06,0.05,0.5,5.0,0.62,10.0,1.8,0.778,0.24,0.2,0.75,0.62,0.3333333333333333,False,False,True,False,0.3708333333333333,0.925925925925926,0.8666666666666667,0.6293333333333333,False,False,False,False,0.8191703703703704,0.333,1.5,,0.0,0.5726,0.0,0.05,hold,SATELLITE,165900896.61765552,1339144.9047619049,138.83999633789062,2026-07-30,0.19718309859154928,True,0.10747663551401869,0.6145833333333334
SCHD,Multi-Sector,False,True,False,,0.18,0.14,0.7,12.0,0.9,12.0,3.0,1.5,0.72,0.56,0.65,0.9,0.8,True,False,True,False,0.6965000000000001,0.7777777777777778,0.3333333333333333,0.0,False,False,False,False,0.4111111111111111,0.412,1.7,,0.0,0.5681,0.0,0.05,hold,SATELLITE,682882762.2190856,20578146.476190478,33.40999984741211,2026-07-30,0.5845070422535211,False,0.602803738317757,0.46875
IPI,Materials,False,False,False,,0.05,0.04,0.3,3.0,0.45,9.0,1.2,0.836,0.2,0.16,0.85,0.45,0.2,False,False,True,False,0.323,1.0,1.0,0.552,True,True,False,False,0.8655999999999999,0.231,1.3,,0.0,0.5672,0.0,0.05,hold,SATELLITE,7547513.559905808,200195.14285714287,35.31999969482422,2026-07-30,0.007042253521126761,True,0.06542056074766354,0.71875
SMCI,Information Technology,True,False,True,growth_ai,0.3,0.22,0.2,20.0,0.4,,2.2,1.708,1.0,0.88,0.9,0.4,1.0,True,True,True,True,0.8590000000000001,0.0,0.6888888888888889,0.0,False,False,False,False,0.2066666666666666,0.167,1.2,,0.0,0.5655,0.1129,0.05,hold,INCLUDE_QUALITY,1174796034.2401264,41710597.047619045,27.729999542236328,2026-07-30,0.7394366197183099,False,0.8411214953271028,
ICL,Materials,False,False,False,,0.12,0.08,0.7,5.0,0.55,7.0,1.4,1.809,0.48,0.32,0.65,0.55,0.3333333333333333,False,False,True,False,0.4533333333333333,1.0,1.0,0.0,True,True,False,False,0.7,0.412,1.7,,0.0,0.5643,0.0,0.05,hold,SATELLITE,13096148.597327897,1199919.0,5.179999828338623,2026-07-30,0.028169014084507043,True,0.34579439252336447,0.8541666666666666
VYM,Multi-Sector,False,True,False,,0.14,0.11,0.8,10.0,0.88,11.0,2.5,1.2,0.56,0.44,0.6,0.88,0.6666666666666666,False,False,True,False,0.5886666666666667,0.8518518518518519,0.5555555555555556,0.0666666666666667,False,False,False,False,0.5274074074074074,0.444,1.8,,0.0,0.5611,0.0,0.05,hold,SATELLITE,200963208.22197142,1384790.4761904762,161.9600067138672,2026-07-30,0.22535211267605634,False,0.4392523364485981,0.5416666666666666
PYPL,Financials,False,False,False,,0.18,0.12,0.4,15.0,0.6,,2.51,0.616,0.72,0.48,0.8,0.6,1.0,True,False,True,False,0.6699999999999999,0.0,0.5511111111111112,0.8453333333333334,False,False,False,False,0.4189333333333334,0.286,1.4,,0.0,0.557,0.0,0.05,hold,SATELLITE,997653907.3157519,18514461.14285714,57.650001525878906,2026-07-30,0.704225352112676,False,0.602803738317757,
CB,Financials,False,True,False,,0.13,0.1,0.3,12.0,0.84,,1.79,0.675,0.52,0.4,0.85,0.84,0.8,False,False,True,False,0.6095000000000002,0.0,0.8711111111111111,0.7666666666666666,False,False,False,False,0.4913333333333333,0.231,1.3,,0.0,0.5563,0.0,0.05,hold,SATELLITE,703301096.090923,2105423.904761905,350.1499938964844,2026-07-30,0.5915492957746479,False,0.40186915887850466,
CAT,Industrials,False,True,True,cyclical,0.4,0.18,1.5,15.0,0.7,13.0,8.0,2.0,1.0,0.72,0.25,0.7,1.0,True,True,False,False,0.7585,0.7037037037037037,0.0,0.0,False,False,False,False,0.2814814814814815,0.6,2.5,,0.0,0.5438,0.0,0.05,hold,SATELLITE,2578689878.709338,3106932.904761905,809.1400146484375,2026-07-30,0.8873239436619719,False,0.9018691588785047,0.3854166666666667
TGT,Consumer Discretionary,False,False,False,,0.25,0.12,1.2,6.0,0.7,10.0,3.5,1.273,1.0,0.48,0.4,0.7,0.4,True,False,False,False,0.649,0.925925925925926,0.1111111111111111,0.0,False,False,False,False,0.4037037037037037,0.545,2.2,,0.0,0.5386,0.0,0.05,hold,SATELLITE,505687118.2593686,3739839.8571428573,144.50999450683594,2026-07-30,0.4859154929577465,False,0.7616822429906542,0.6145833333333334
SO,Utilities,False,True,False,,0.11,0.05,1.6,3.0,0.88,12.0,2.4,0.643,0.44,0.2,0.1999999999999999,0.88,0.2,False,False,False,False,0.374,0.7777777777777778,0.6000000000000001,0.8093333333333333,False,False,False,False,0.7339111111111112,0.615,2.6,,0.0,0.536,0.0,0.05,hold,SATELLITE,423511014.8941247,4512966.0,94.33999633789062,2026-07-30,0.4295774647887324,False,0.2897196261682243,0.46875
TRV,Financials,False,True,False,,0.14,0.1,0.3,10.0,0.82,,2.37,0.603,0.56,0.4,0.85,0.82,0.6666666666666666,False,False,True,False,0.6051666666666666,0.0,0.6133333333333333,0.8626666666666667,False,False,False,False,0.4427999999999999,0.231,1.3,,0.0,0.5321,0.0,0.05,hold,SATELLITE,742306396.2075394,2190315.9523809524,375.989990234375,2026-07-30,0.6056338028169014,False,0.4392523364485981,
HII,Industrials,False,False,True,aerospace_defense,0.12,0.08,0.8,6.0,0.8,12.0,2.5,1.0,0.48,0.32,0.6,0.8,0.4,False,False,True,False,0.49,0.7777777777777778,0.5555555555555556,0.3333333333333333,False,False,False,False,0.5777777777777777,0.444,1.8,,0.0,0.5295,0.0,0.05,hold,SATELLITE,149513347.30039048,668365.9047619047,319.8999938964844,2026-07-30,0.16901408450704225,True,0.34579439252336447,0.46875
MSFT,Information Technology,False,False,True,quality_growth,0.35,0.25,0.3,30.0,0.9,,8.09,6.702,1.0,1.0,0.85,0.9,1.0,True,True,True,True,0.9625,0.0,0.0,0.0,False,False,False,False,0.0,0.231,1.3,,0.0,0.5294,0.0,0.05,hold,SATELLITE,13546719643.543644,33815492.952380955,451.1000061035156,2026-07-30,0.9647887323943662,False,0.8691588785046729,
LXU,Materials,False,False,False,,0.15,0.1,0.8,4.0,0.5,,1.46,0.567,0.6,0.4,0.6,0.5,0.2666666666666666,True,False,True,False,0.4916666666666667,0.0,1.0,0.9106666666666668,False,True,False,False,0.5731999999999999,0.444,1.8,,0.0,0.5284,0.0,0.05,hold,SATELLITE,15757093.489578508,821320.8095238095,11.039999961853027,2026-07-30,0.035211267605633804,True,0.4953271028037383,
VZ,Communication Services,False,True,False,,0.2,0.08,1.8,5.0,0.82,,1.84,0.507,0.8,0.32,0.0999999999999999,0.82,0.3333333333333333,True,False,False,False,0.5073333333333333,0.0,0.8488888888888888,0.9906666666666668,False,False,False,False,0.5518666666666667,0.643,2.8,,0.0,0.5274,0.0,0.05,hold,SATELLITE,1270348171.3865411,28837744.095238097,46.11000061035156,2026-07-30,0.7605633802816901,False,0.6682242990654206,
GIS,Consumer Staples,False,True,False,,0.28,0.12,1.3,7.0,0.8,12.0,3.8,1.125,1.0,0.48,0.35,0.8,0.4666666666666667,True,False,False,False,0.6631666666666666,0.7777777777777778,0.0,0.1666666666666666,False,False,False,False,0.3611111111111111,0.565,2.3,,0.0,0.5272,0.0,0.05,hold,SATELLITE,362331292.2991699,9697584.904761905,36.41999816894531,2026-07-30,0.38028169014084506,False,0.8130841121495327,0.46875
ABBV,Health Care,False,True,False,,0.8,0.2,3.5,8.0,0.78,,-68.33,3.369,1.0,0.8,0.0,0.78,0.5333333333333333,True,True,False,False,0.7103333333333334,0.0,1.0,0.0,False,True,False,False,0.3,0.778,4.5,,0.0,0.5257,0.0,0.05,hold,SATELLITE,1452323202.3953404,5753863.0,257.4100036621094,2026-07-30,0.795774647887324,False,0.9719626168224299,
MOS,Materials,True,False,False,,0.08,0.06,0.4,5.0,0.55,,0.61,0.329,0.32,0.24,0.8,0.55,0.3333333333333333,False,False,True,False,0.4038333333333333,0.0,1.0,1.0,False,True,True,False,0.6,0.286,1.4,cheap-assets,0.03,0.5221,0.1127,0.05,hold,SATELLITE,152707205.92855915,6891562.380952381,22.770000457763672,2026-07-30,0.176056338028169,True,0.17289719626168223,
CL,Consumer Staples,False,True,False,,0.35,0.18,1.2,11.0,0.87,16.0,80.0,4.875,1.0,0.72,0.4,0.87,0.7333333333333333,True,True,False,False,0.7798333333333335,0.4814814814814815,0.0,0.0,False,False,False,False,0.1925925925925926,0.545,2.2,,0.0,0.5156,0.0,0.05,hold,SATELLITE,389612755.19269997,4211030.19047619,91.5999984741211,2026-07-30,0.4014084507042254,False,0.8691588785046729,0.19791666666666666
GOOGL,Communication Services,False,False,True,quality_growth,0.25,0.22,0.1,40.0,0.85,,6.56,,1.0,0.88,0.95,0.85,1.0,True,True,True,True,0.934,0.0,0.0,0.0,False,False,False,False,0.0,0.091,1.1,,0.0,0.5137,0.0,0.05,hold,SATELLITE,9544155842.540836,27825047.333333332,333.6600036621094,2026-07-30,0.9507042253521126,False,0.7616822429906542,
KHC,Consumer Staples,True,True,False,,0.06,0.05,0.5,5.0,0.7,,0.75,0.355,0.24,0.2,0.75,0.7,0.3333333333333333,False,False,True,False,0.3828333333333333,0.0,1.0,1.0,False,True,True,False,0.6,0.333,1.5,cheap-assets,0.03,0.5106,0.1339,0.05,hold,SATELLITE,318639894.8718253,12324007.238095239,26.3799991607666,2026-07-30,0.3380281690140845,False,0.10747663551401869,
MKC,Consumer Staples,False,True,False,,0.22,0.12,0.9,8.0,0.82,,1.96,1.054,0.88,0.48,0.55,0.82,0.5333333333333333,True,False,True,False,0.6668333333333334,0.0,0.7955555555555556,0.2613333333333333,False,False,False,False,0.3170666666666666,0.474,1.9,,0.0,0.5094,0.0,0.05,hold,SATELLITE,179964398.96635875,3417592.0476190476,50.959999084472656,2026-07-30,0.20422535211267606,True,0.7102803738317757,
O,Real Estate,False,True,False,,0.05,0.04,1.2,3.0,0.9,15.0,1.4,0.714,0.2,0.16,0.4,0.9,0.2,False,False,False,False,0.323,0.5555555555555556,1.0,0.7146666666666668,False,True,False,False,0.7366222222222223,0.545,2.2,,0.0,0.5091,0.0,0.05,hold,SATELLITE,308952570.07284254,4816174.523809524,64.43000030517578,2026-07-30,0.33098591549295775,False,0.06542056074766354,0.2708333333333333
NVDA,Information Technology,False,False,True,growth_ai,0.9,0.55,0.2,50.0,0.6,,24.17,,1.0,1.0,0.9,0.6,1.0,True,True,True,True,0.925,0.0,0.0,0.0,False,False,False,False,0.0,0.167,1.2,,0.0,0.5088,0.0,0.05,hold,SATELLITE,24776279321.175102,122131153.04761904,195.0399932861328,2026-07-30,0.9859154929577465,False,0.985981308411215,
VIG,Multi-Sector,False,True,False,,0.2,0.15,0.6,15.0,0.92,16.0,4.0,2.0,0.8,0.6,0.7,0.92,1.0,True,True,True,True,0.763,0.4814814814814815,0.0,0.0,False,False,False,False,0.1925925925925926,0.375,1.6,,0.0,0.5063,0.0,0.05,hold,SATELLITE,285516824.69383764,1216822.9047619049,240.05999755859375,2026-07-30,0.2746478873239437,False,0.6682242990654206,0.19791666666666666
XLU,Utilities,False,True,False,,0.1,0.05,1.4,4.0,0.92,12.0,2.0,1.0,0.4,0.2,0.3,0.92,0.2666666666666666,False,False,False,False,0.3896666666666666,0.7777777777777778,0.7777777777777778,0.3333333333333333,False,False,False,False,0.6444444444444445,0.583,2.4,,0.0,0.5043,0.0,0.05,hold,SATELLITE,786859097.2561858,17203751.095238097,44.65999984741211,2026-07-30,0.6338028169014085,False,0.24766355140186916,0.46875
DOW,Materials,False,True,False,,0.1,0.07,0.7,5.0,0.6,,1.37,0.362,0.4,0.28,0.65,0.6,0.3333333333333333,False,False,True,False,0.4248333333333333,0.0,1.0,1.0,False,True,True,False,0.6,0.412,1.7,mixed-assets,0.0,0.5037,0.0,0.05,hold,SATELLITE,307673969.757373,10303448.714285715,30.09000015258789,2026-07-30,0.323943661971831,False,0.24766355140186916,
ASIX,Materials,False,False,False,,0.1,0.07,0.6,4.0,0.55,,0.7,0.347,0.4,0.28,0.7,0.55,0.2666666666666666,False,False,True,False,0.4181666666666667,0.0,1.0,1.0,False,True,True,False,0.6,0.375,1.6,mixed-assets,0.0,0.5,0.0,0.05,hold,SATELLITE,17888893.510206986,437109.5238095238,20.600000381469727,2026-07-30,0.04225352112676056,True,0.24766355140186916,
REGN,Health Care,False,False,True,emerging_growth,0.18,0.16,0.1,25.0,0.7,,2.39,,0.72,0.64,0.95,0.7,1.0,True,True,True,True,0.7555,0.0,0.6044444444444443,0.0,False,False,False,False,0.1813333333333333,0.091,1.1,,0.0,0.4971,0.0,0.05,reduce_or_avoid,WATCH,516061436.66211903,970230.8571428572,738.3400268554688,2026-07-30,0.49295774647887325,False,0.602803738317757,
SPLV,Multi-Sector,False,True,False,,0.14,0.11,0.8,10.0,0.9,13.0,3.0,1.5,0.56,0.44,0.6,0.9,0.6666666666666666,False,False,True,False,0.5916666666666667,0.7037037037037037,0.3333333333333333,0.0,False,False,False,False,0.3814814814814815,0.444,1.8,,0.0,0.4971,0.0,0.05,reduce_or_avoid,WATCH,161570197.9504742,2133220.8571428573,76.37999725341797,2026-07-30,0.18309859154929578,True,0.4392523364485981,0.3854166666666667
ALL,Financials,False,True,False,,0.12,0.09,0.35,8.0,0.78,,2.31,0.651,0.48,0.36,0.825,0.78,0.5333333333333333,False,False,True,False,0.5460833333333333,0.0,0.6399999999999999,0.7986666666666666,False,False,False,False,0.4316,0.259,1.35,,0.0,0.4946,0.0,0.05,reduce_or_avoid,WATCH,400978371.36740893,1765713.0952380951,265.3800048828125,2026-07-30,0.4225352112676056,False,0.34579439252336447,
SBUX,Consumer Discretionary,False,False,False,,0.4,0.14,2.5,8.0,0.75,,-14.25,4.021,1.0,0.56,0.0,0.75,0.5333333333333333,True,False,False,False,0.6338333333333334,0.0,1.0,0.0,False,True,False,False,0.3,0.714,3.5,,0.0,0.4836,0.0,0.05,reduce_or_avoid,WATCH,734507090.5824002,7019018.428571428,105.8499984741211,2026-07-30,0.5985915492957746,False,0.9018691588785047,
CSCO,Information Technology,False,True,False,,0.25,0.18,0.3,25.0,0.88,,9.16,4.476,1.0,0.72,0.85,0.88,1.0,True,True,True,True,0.8755,0.0,0.0,0.0,False,False,False,False,0.0,0.231,1.3,,0.0,0.4815,0.0,0.05,reduce_or_avoid,WATCH,2260902609.156907,19875663.904761903,113.55999755859375,2026-07-30,0.8732394366197183,False,0.7616822429906542,
CW,Industrials,False,False,True,aerospace_defense,0.14,0.1,0.5,9.0,0.82,14.0,3.0,1.8,0.56,0.4,0.75,0.82,0.6,False,False,True,False,0.5834999999999999,0.6296296296296297,0.3333333333333333,0.0,False,False,False,False,0.3518518518518518,0.333,1.5,,0.0,0.4793,0.0,0.05,reduce_or_avoid,WATCH,162107363.1760694,307369.1904761905,716.6599731445312,2026-07-30,0.19014084507042253,True,0.4392523364485981,0.3333333333333333
USMV,Multi-Sector,False,True,False,,0.15,0.12,0.7,12.0,0.9,14.0,3.5,1.8,0.6,0.48,0.65,0.9,0.8,True,False,True,False,0.6365000000000001,0.6296296296296297,0.1111111111111111,0.0,False,False,False,False,0.2851851851851852,0.412,1.7,,0.0,0.4784,0.0,0.05,reduce_or_avoid,WATCH,210303507.70821217,2203676.238095238,97.83999633789062,2026-07-30,0.2323943661971831,False,0.4953271028037383,0.3333333333333333
XLP,Consumer Staples,False,True,False,,0.18,0.12,0.8,10.0,0.9,14.0,4.5,2.0,0.72,0.48,0.6,0.9,0.6666666666666666,True,False,True,False,0.6516666666666666,0.6296296296296297,0.0,0.0,False,False,False,False,0.2518518518518519,0.444,1.8,,0.0,0.4718,0.0,0.05,reduce_or_avoid,WATCH,949267132.8170984,11160789.714285715,85.47000122070312,2026-07-30,0.6971830985915493,False,0.602803738317757,0.3333333333333333
LLY,Health Care,False,True,False,,0.55,0.3,1.5,15.0,0.8,35.0,45.0,10.571,1.0,1.0,0.25,0.8,1.0,True,True,False,False,0.8574999999999999,0.0,0.0,0.0,False,False,False,False,0.0,0.6,2.5,,0.0,0.4716,0.0,0.05,reduce_or_avoid,WATCH,2685934256.4017,2294065.1428571427,1154.969970703125,2026-07-30,0.8943661971830986,False,0.9439252336448598,0.020833333333333332
COST,Consumer Discretionary,False,True,False,,0.28,0.16,0.4,25.0,0.88,,25.6,6.045,1.0,0.64,0.8,0.88,1.0,True,True,True,True,0.844,0.0,0.0,0.0,False,False,False,False,0.0,0.286,1.4,,0.0,0.4642,0.0,0.05,reduce_or_avoid,WATCH,2019870924.051647,2192230.1904761903,954.1699829101562,2026-07-30,0.8661971830985915,False,0.8130841121495327,
PG,Consumer Staples,False,True,False,,0.18,0.16,0.55,12.0,0.92,18.0,7.5,3.25,0.72,0.64,0.725,0.92,0.8,True,True,True,True,0.73475,0.3333333333333333,0.0,0.0,False,False,False,False,0.1333333333333333,0.355,1.55,,0.0,0.4641,0.0,0.05,reduce_or_avoid,WATCH,1220796875.2729084,8328911.142857143,143.9600067138672,2026-07-30,0.7535211267605634,False,0.602803738317757,0.13541666666666666
NKE,Consumer Discretionary,False,False,False,,0.3,0.18,0.6,15.0,0.8,,4.22,1.568,1.0,0.72,0.7,0.8,1.0,True,True,True,True,0.841,0.0,0.0,0.0,False,False,False,False,0.0,0.375,1.6,,0.0,0.4626,0.0,0.05,reduce_or_avoid,WATCH,765428284.3822014,17728158.476190478,42.290000915527344,2026-07-30,0.6267605633802817,False,0.8411214953271028,
