ticker,regime,label,dual_pass,n_failed,failed_legs,pass_roe,pass_roic,pass_de,pass_ev,pass_pb,pass_mca,roe_gap,roic_gap,de_gap,ev_gap,pb_gap,mca_gap,roe,roic,debt_to_equity,ev_ebitda,pb_ratio,mktcap_to_assets
KMB,normal,base_dual_pass,False,4,"de,ev,pb,mca",True,True,False,False,False,False,0.4,0.010000000000000009,-1.0,-5.0,-33.5,-2.147,0.55,0.16,2.0,14.0,35.0,2.647
BMY,normal,base_dual_pass,False,4,"roic,de,pb,mca",True,False,False,True,False,False,0.03,-0.03,-0.10000000000000009,0.5,-3.0,-0.5,0.18,0.12,1.1,8.5,4.5,1.0
MRK,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.15,0.03,0.30000000000000004,-3.0,-5.0,-2.136,0.3,0.18,0.7,12.0,6.5,2.636
DUK,normal,base_dual_pass,False,5,"roe,roic,de,ev,pb",False,False,False,False,False,True,-0.06,-0.09999999999999999,-0.5,-2.0,-0.10000000000000009,0.043999999999999984,0.09,0.05,1.5,11.0,1.6,0.456
SO,normal,base_dual_pass,False,6,"roe,roic,de,ev,pb,mca",False,False,False,False,False,False,-0.039999999999999994,-0.09999999999999999,-0.6000000000000001,-3.0,-0.8999999999999999,-0.14300000000000002,0.11,0.05,1.6,12.0,2.4,0.643
PYPL,normal,base_dual_pass,False,4,"roic,ev,pb,mca",True,False,True,False,False,False,0.03,-0.03,0.6,-3.0,-0.5,-0.09999999999999998,0.18,0.12,0.4,12.0,2.0,0.6
GIS,normal,base_dual_pass,False,5,"roic,de,ev,pb,mca",True,False,False,False,False,False,0.13000000000000003,-0.03,-0.30000000000000004,-3.0,-2.3,-0.625,0.28,0.12,1.3,12.0,3.8,1.125
CPB,normal,base_dual_pass,False,5,"roic,de,ev,pb,mca",True,False,False,False,False,False,0.05000000000000002,-0.06,-0.5,-1.0,-1.0,-0.4,0.2,0.09,1.5,10.0,2.5,0.9
MKC,normal,base_dual_pass,False,4,"roic,ev,pb,mca",True,False,True,False,False,False,0.07,-0.03,0.09999999999999998,-9.0,-3.5,-1.038,0.22,0.12,0.9,18.0,5.0,1.538
CL,normal,base_dual_pass,False,4,"de,ev,pb,mca",True,True,False,False,False,False,0.19999999999999998,0.03,-0.19999999999999996,-7.0,-78.5,-4.375,0.35,0.18,1.2,16.0,80.0,4.875
ABBV,normal,base_dual_pass,False,4,"de,ev,pb,mca",True,True,False,False,False,False,0.65,0.05000000000000002,-2.5,-3.0,-33.5,-1.87,0.8,0.2,3.5,12.0,35.0,2.37
NEE,normal,base_dual_pass,False,6,"roe,roic,de,ev,pb,mca",False,False,False,False,False,False,-0.03,-0.09,-0.3999999999999999,-5.0,-1.2999999999999998,-0.31599999999999995,0.12,0.06,1.4,14.0,2.8,0.816
HON,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.13000000000000003,0.010000000000000009,0.19999999999999996,-7.0,-6.0,-1.654,0.28,0.16,0.8,16.0,7.5,2.154
DE,normal,base_dual_pass,False,4,"de,ev,pb,mca",True,True,False,False,False,False,0.19999999999999998,0.0,-0.8,-3.0,-3.5,-0.55,0.35,0.15,1.8,12.0,5.0,1.05
WM,normal,base_dual_pass,False,5,"roic,de,ev,pb,mca",True,False,False,False,False,False,0.1,-0.03,-0.5,-6.0,-7.5,-1.9289999999999998,0.25,0.12,1.5,15.0,9.0,2.429
HMC,normal,base_dual_pass,False,2,"roe,roic",False,False,True,True,True,True,-0.06999999999999999,-0.09,0.5,2.5,0.9,0.26,0.08,0.06,0.5,6.5,0.6,0.24
DOW,normal,base_dual_pass,False,3,"roe,roic,mca",False,False,True,True,True,False,-0.04999999999999999,-0.07999999999999999,0.30000000000000004,1.0,0.0,-0.16700000000000004,0.1,0.07,0.7,8.0,1.5,0.667
IBM,normal,base_dual_pass,False,5,"roic,de,ev,pb,mca",True,False,False,False,False,False,0.1,-0.04999999999999999,-1.0,-5.0,-5.0,-0.808,0.25,0.1,2.0,14.0,6.5,1.308
DD,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.09,-0.09999999999999999,0.5,-1.0,-0.30000000000000004,-0.278,0.06,0.05,0.5,10.0,1.8,0.778
MOS,normal,base_dual_pass,False,2,"roe,roic",False,False,True,True,True,True,-0.06999999999999999,-0.09,0.6,2.5,0.8,0.177,0.08,0.06,0.4,6.5,0.7,0.323
NTR,normal,base_dual_pass,False,3,"roe,roic,mca",False,False,True,True,True,False,-0.07999999999999999,-0.09999999999999999,0.4,1.5,0.3999999999999999,-0.379,0.07,0.05,0.6,7.5,1.1,0.879
ICL,normal,base_dual_pass,False,3,"roe,roic,mca",False,False,True,True,True,False,-0.03,-0.06999999999999999,0.30000000000000004,2.0,0.10000000000000009,-1.309,0.12,0.08,0.7,7.0,1.4,1.809
IPI,normal,base_dual_pass,False,3,"roe,roic,mca",False,False,True,True,True,False,-0.09999999999999999,-0.10999999999999999,0.7,0.0,0.30000000000000004,-0.33599999999999997,0.05,0.04,0.3,9.0,1.2,0.836
UAN,normal,base_dual_pass,False,3,"roic,pb,mca",True,False,True,True,False,False,0.05000000000000002,-0.03,0.5,3.0,-1.0,-0.627,0.2,0.12,0.5,6.0,2.5,1.127
SMG,normal,base_dual_pass,False,6,"roe,roic,de,ev,pb,mca",False,False,False,False,False,False,-0.03,-0.06999999999999999,-0.5,-3.0,-3.0,-0.579,0.12,0.08,1.5,12.0,4.5,1.079
LXU,normal,base_dual_pass,False,2,"roic,mca",True,False,True,True,True,False,0.0,-0.04999999999999999,0.19999999999999996,2.0,0.19999999999999996,-0.10699999999999998,0.15,0.1,0.8,7.0,1.3,0.607
ASIX,normal,base_dual_pass,False,2,"roe,roic",False,False,True,True,True,True,-0.04999999999999999,-0.07999999999999999,0.4,2.5,0.6,0.15600000000000003,0.1,0.07,0.6,6.5,0.9,0.344
ANDE,normal,base_dual_pass,False,3,"roe,roic,mca",False,False,True,True,True,False,-0.06999999999999999,-0.09,0.5,1.0,0.10000000000000009,-0.119,0.08,0.06,0.5,8.0,1.4,0.619
CTVA,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.06999999999999999,-0.09,0.6,-5.0,-0.3999999999999999,-0.871,0.08,0.06,0.4,14.0,1.9,1.371
SMCI,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.15,0.07,0.8,-9.0,-2.7,-1.071,0.3,0.22,0.2,18.0,4.2,1.571
KHC,normal,base_dual_pass,False,3,"roe,roic,ev",False,False,True,False,True,True,-0.09,-0.09999999999999999,0.5,-0.5,0.7,0.136,0.06,0.05,0.5,9.5,0.8,0.364
CAG,normal,base_dual_pass,False,2,"roe,roic",False,False,True,True,True,True,-0.04999999999999999,-0.07999999999999999,0.09999999999999998,0.5,0.3999999999999999,0.14800000000000002,0.1,0.07,0.9,8.5,1.1,0.352
BAYRY,normal,base_dual_pass,False,2,"roe,roic",False,False,True,True,True,True,-0.09999999999999999,-0.10999999999999999,0.09999999999999998,1.5,0.5,0.267,0.05,0.04,0.9,7.5,1.0,0.233
RTX,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.03,-0.06999999999999999,0.30000000000000004,-4.0,-1.0,-0.44099999999999995,0.12,0.08,0.7,13.0,2.5,0.941
LMT,normal,base_dual_pass,False,4,"de,ev,pb,mca",True,True,False,False,False,False,0.4,0.05000000000000002,-0.5,-5.0,-13.5,-1.8639999999999999,0.55,0.2,1.5,14.0,15.0,2.364
PM,normal,base_dual_pass,False,4,"de,ev,pb,mca",True,True,False,False,False,False,0.5499999999999999,0.05000000000000002,-1.0,-3.0,-5.5,-2.269,0.7,0.2,2.0,12.0,7.0,2.769
MO,normal,base_dual_pass,False,3,"de,pb,mca",True,True,False,True,False,False,0.75,0.1,-0.5,0.0,-23.5,-2.071,0.9,0.25,1.5,9.0,25.0,2.571
MSFT,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.19999999999999998,0.1,0.7,-16.0,-10.5,-5.9,0.35,0.25,0.3,25.0,12.0,6.4
ORCL,normal,base_dual_pass,False,4,"de,ev,pb,mca",True,True,False,False,False,False,0.35,0.03,-1.5,-11.0,-23.5,-2.643,0.5,0.18,2.5,20.0,25.0,3.143
CSCO,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.1,0.03,0.7,-2.0,-3.0,-1.7000000000000002,0.25,0.18,0.3,11.0,4.5,2.2
FMC,normal,base_dual_pass,False,3,"roe,roic,de",False,False,False,True,True,True,-0.09999999999999999,-0.10999999999999999,-0.19999999999999996,0.0,0.9,0.378,0.05,0.04,1.2,9.0,0.6,0.122
XLU,normal,base_dual_pass,False,6,"roe,roic,de,ev,pb,mca",False,False,False,False,False,False,-0.04999999999999999,-0.09999999999999999,-0.3999999999999999,-3.0,-0.5,-0.5,0.1,0.05,1.4,12.0,2.0,1.0
XLV,normal,base_dual_pass,False,4,"roic,ev,pb,mca",True,False,True,False,False,False,0.010000000000000009,-0.03,0.30000000000000004,-6.0,-2.5,-1.7000000000000002,0.16,0.12,0.7,15.0,4.0,2.2
XLF,normal,base_dual_pass,False,3,"roe,roic,ev",False,False,True,False,True,True,-0.03,-0.04999999999999999,0.19999999999999996,-1.0,0.0,0.35,0.12,0.1,0.8,10.0,1.5,0.15
SCHD,normal,base_dual_pass,False,4,"roic,ev,pb,mca",True,False,True,False,False,False,0.03,-0.009999999999999981,0.30000000000000004,-3.0,-1.5,-1.0,0.18,0.14,0.7,12.0,3.0,1.5
USMV,normal,base_dual_pass,False,4,"roic,ev,pb,mca",True,False,True,False,False,False,0.0,-0.03,0.30000000000000004,-5.0,-2.0,-1.3,0.15,0.12,0.7,14.0,3.5,1.8
DVY,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.03,-0.06,0.0,-1.0,-0.30000000000000004,-0.4,0.12,0.09,1.0,10.0,1.8,0.9
VYM,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.009999999999999981,-0.039999999999999994,0.19999999999999996,-2.0,-1.0,-0.7,0.14,0.11,0.8,11.0,2.5,1.2
XLP,normal,base_dual_pass,False,4,"roic,ev,pb,mca",True,False,True,False,False,False,0.03,-0.03,0.19999999999999996,-5.0,-3.0,-1.5,0.18,0.12,0.8,14.0,4.5,2.0
SPLV,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.009999999999999981,-0.039999999999999994,0.19999999999999996,-4.0,-1.5,-1.0,0.14,0.11,0.8,13.0,3.0,1.5
VIG,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.05000000000000002,0.0,0.4,-7.0,-2.5,-1.5,0.2,0.15,0.6,16.0,4.0,2.0
CFG,normal,base_dual_pass,False,2,"roe,roic",False,False,True,True,True,True,-0.03,-0.04999999999999999,0.7,2.0,0.7,0.4,0.12,0.1,0.3,7.0,0.8,0.1
GSAT,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.2,-0.18,0.19999999999999996,-16.0,-0.5,-1.0,-0.05,-0.03,0.8,25.0,2.0,1.5
FITB,normal,base_dual_pass,True,0,,True,True,True,True,True,True,0.0,0.0,0.75,1.0,0.19999999999999996,0.36,0.15,0.15,0.25,8.0,1.3,0.14
RF,normal,base_dual_pass,True,0,,True,True,True,True,True,True,0.0,0.0,0.8,1.5,0.3999999999999999,0.38,0.15,0.15,0.2,7.5,1.1,0.12
IVZ,normal,base_dual_pass,True,0,,True,True,True,True,True,True,0.0,0.0,0.6,2.5,0.5,0.3,0.15,0.15,0.4,6.5,1.0,0.2
BEN,normal,base_dual_pass,True,0,,True,True,True,True,True,True,0.010000000000000009,0.0,0.7,2.0,0.30000000000000004,0.25,0.16,0.15,0.3,7.0,1.2,0.25
IRDM,normal,base_dual_pass,False,6,"roe,roic,de,ev,pb,mca",False,False,False,False,False,False,-0.06999999999999999,-0.09,-0.19999999999999996,-5.0,-2.0,-1.0,0.08,0.06,1.2,14.0,3.5,1.5
SPR,normal,base_dual_pass,False,5,"roe,roic,de,ev,mca",False,False,False,False,True,False,-0.25,-0.2,-1.0,-6.0,0.30000000000000004,-0.30000000000000004,-0.1,-0.05,2.0,15.0,1.2,0.8
TDG,normal,base_dual_pass,False,5,"roe,de,ev,pb,mca",False,True,False,False,False,False,-0.15,0.0,-4.0,-11.0,-48.5,-2.5,0.0,0.15,5.0,20.0,50.0,3.0
HEI,normal,base_dual_pass,False,4,"roic,ev,pb,mca",True,False,True,False,False,False,0.010000000000000009,-0.03,0.4,-19.0,-5.5,-3.5,0.16,0.12,0.6,28.0,7.0,4.0
CW,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.009999999999999981,-0.04999999999999999,0.5,-5.0,-1.5,-1.3,0.14,0.1,0.5,14.0,3.0,1.8
GD,normal,base_dual_pass,False,4,"roic,ev,pb,mca",True,False,True,False,False,False,0.03,-0.03,0.30000000000000004,-4.0,-1.7000000000000002,-0.8999999999999999,0.18,0.12,0.7,13.0,3.2,1.4
NOC,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.009999999999999981,-0.04999999999999999,0.09999999999999998,-5.0,-2.0,-1.0,0.14,0.1,0.9,14.0,3.5,1.5
HBAN,normal,base_dual_pass,True,0,,True,True,True,True,True,True,0.0,0.0,0.8,2.0,0.30000000000000004,0.39,0.15,0.15,0.2,7.0,1.2,0.11
HII,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.03,-0.06999999999999999,0.19999999999999996,-3.0,-1.0,-0.5,0.12,0.08,0.8,12.0,2.5,1.0
AFL,normal,base_dual_pass,False,1,roic,True,False,True,True,True,True,0.010000000000000009,-0.03,0.6,0.5,0.0,0.35,0.16,0.12,0.4,8.5,1.5,0.15
NVDA,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.75,0.4,0.8,-26.0,-23.5,-17.5,0.9,0.55,0.2,35.0,25.0,18.0
SATS,normal,base_dual_pass,False,3,"roe,roic,de",False,False,False,True,True,True,-0.15,-0.15,-1.0,1.0,0.7,0.09999999999999998,0.0,0.0,2.0,8.0,0.8,0.4
RKLB,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.3,-0.25,0.7,,-6.5,-2.5,-0.15,-0.1,0.3,,8.0,3.0
ASTS,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.35,-0.3,0.5,,-3.5,-1.5,-0.2,-0.15,0.5,,5.0,2.0
BKSY,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.25,-0.22999999999999998,0.6,,-1.0,-1.0,-0.1,-0.08,0.4,,2.5,1.5
TDW,normal,base_dual_pass,False,3,"roe,roic,mca",False,False,True,True,True,False,-0.04999999999999999,-0.06999999999999999,0.4,2.0,0.10000000000000009,-0.30000000000000004,0.1,0.08,0.6,7.0,1.4,0.8
VAL,normal,base_dual_pass,False,4,"roe,roic,pb,mca",False,False,True,True,False,False,-0.03,-0.06,0.30000000000000004,1.0,-0.10000000000000009,-0.4,0.12,0.09,0.7,8.0,1.6,0.9
SPCX,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.2,-0.18,0.6,,-23.5,-7.5,-0.05,-0.03,0.4,,25.0,8.0
HPQ,normal,base_dual_pass,False,1,mca,True,True,True,True,True,False,0.05000000000000002,0.0,0.19999999999999996,2.0,0.10000000000000009,-0.09999999999999998,0.2,0.15,0.8,7.0,1.4,0.6
VLO,normal,base_dual_pass,False,2,"roic,mca",True,False,True,True,True,False,0.05000000000000002,-0.03,0.6,4.0,0.0,-0.19999999999999996,0.2,0.12,0.4,5.0,1.5,0.7
PSX,normal,base_dual_pass,False,3,"roic,pb,mca",True,False,True,True,False,False,0.03,-0.039999999999999994,0.5,3.0,-0.10000000000000009,-0.25,0.18,0.11,0.5,6.0,1.6,0.75
MPC,normal,base_dual_pass,False,3,"roic,pb,mca",True,False,True,True,False,False,0.07,-0.009999999999999981,0.5,3.5,-0.19999999999999996,-0.30000000000000004,0.22,0.14,0.5,5.5,1.7,0.8
SYF,normal,base_dual_pass,False,2,"roic,de",True,False,False,True,True,True,0.03,-0.03,-0.19999999999999996,4.0,0.3999999999999999,0.35,0.18,0.12,1.2,5.0,1.1,0.15
MU,normal,base_dual_pass,False,3,"roic,pb,mca",True,False,True,True,False,False,0.010000000000000009,-0.03,0.7,2.5,-0.30000000000000004,-0.4,0.16,0.12,0.3,6.5,1.8,0.9
NUE,normal,base_dual_pass,False,3,"roic,pb,mca",True,False,True,True,False,False,0.03,-0.009999999999999981,0.7,3.0,-0.10000000000000009,-0.5,0.18,0.14,0.3,6.0,1.6,1.0
STLD,normal,base_dual_pass,False,2,"pb,mca",True,True,True,True,False,False,0.05000000000000002,0.0,0.7,3.5,-0.30000000000000004,-0.6000000000000001,0.2,0.15,0.3,5.5,1.8,1.1
FANG,normal,base_dual_pass,False,2,"roic,mca",True,False,True,True,True,False,0.010000000000000009,-0.03,0.6,4.0,0.10000000000000009,-0.4,0.16,0.12,0.4,5.0,1.4,0.9
DVN,normal,base_dual_pass,False,2,"roic,mca",True,False,True,True,True,False,0.03,-0.03,0.5,4.5,0.0,-0.4,0.18,0.12,0.5,4.5,1.5,0.9
INTC,normal,base_dual_pass,False,4,"roe,roic,ev,mca",False,False,True,False,True,False,-0.13,-0.13999999999999999,0.5,-3.0,0.19999999999999996,-0.19999999999999996,0.02,0.01,0.5,12.0,1.3,0.7
XLE,normal,base_dual_pass,False,4,"roe,roic,pb,mca",False,False,True,True,False,False,-0.009999999999999981,-0.04999999999999999,0.5,2.0,-0.30000000000000004,-0.4,0.14,0.1,0.5,7.0,1.8,0.9
AMAT,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.19999999999999998,0.1,0.6,-7.0,-5.0,-2.3,0.35,0.25,0.4,16.0,6.5,2.8
STM,normal,base_dual_pass,False,3,"roic,pb,mca",True,False,True,True,False,False,0.0,-0.03,0.7,0.0,-0.7000000000000002,-0.5,0.15,0.12,0.3,9.0,2.2,1.0
AMD,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.03,-0.04999999999999999,0.85,-19.0,-3.5,-3.5,0.12,0.1,0.15,28.0,5.0,4.0
PLTR,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.06999999999999999,-0.09999999999999999,1.0,-36.0,-2.5,-7.5,0.08,0.05,0.0,45.0,4.0,8.0
CRWD,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.09999999999999999,-0.10999999999999999,0.7,-31.0,-4.5,-11.5,0.05,0.04,0.3,40.0,6.0,12.0
GOOGL,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.1,0.07,0.9,-9.0,-6.5,-4.5,0.25,0.22,0.1,18.0,8.0,5.0
TSLA,normal,base_dual_pass,False,4,"roic,ev,pb,mca",True,False,True,False,False,False,0.0,-0.04999999999999999,0.8,-46.0,-6.5,-9.5,0.15,0.1,0.2,55.0,8.0,10.0
ENPH,normal,base_dual_pass,False,5,"roe,roic,ev,pb,mca",False,False,True,False,False,False,-0.04999999999999999,-0.06999999999999999,0.5,-13.0,-1.5,-3.5,0.1,0.08,0.5,22.0,3.0,4.0
SEDG,normal,base_dual_pass,False,4,"roe,roic,ev,mca",False,False,True,False,True,False,-0.2,-0.16999999999999998,0.19999999999999996,-9.0,0.0,-1.5,-0.05,-0.02,0.8,18.0,1.5,2.0
REGN,normal,base_dual_pass,False,3,"ev,pb,mca",True,True,True,False,False,False,0.03,0.010000000000000009,0.9,-6.0,-2.5,-3.0,0.18,0.16,0.1,15.0,4.0,3.5
XBI,normal,base_dual_pass,False,6,"roe,roic,de,ev,pb,mca",False,False,False,False,False,False,,,,,,,,,,,,
BA,normal,base_dual_pass,False,5,"roe,roic,de,ev,mca",False,False,False,False,True,False,-0.15,-0.13,-4.0,-13.0,0.30000000000000004,-0.30000000000000004,0.0,0.02,5.0,22.0,1.2,0.8
