ticker,date,close,score,ret_z,resid_z,vol_z,backend,mkt_dispersion_shock
KHC,2026-06-27,29.39,3.6857,-0.2083,3.6857,-0.7707,statistical,False
KHC,2026-06-28,28.88,2.712,-1.4574,2.712,0.529,statistical,False
KHC,2026-07-27,27.29,2.7103,-2.7103,-2.0993,1.0229,statistical,False
CAG,2025-08-26,11.0,2.5205,-0.6472,-2.5205,-0.7175,statistical,False
CAG,2025-08-28,10.75,3.4668,-1.8909,-3.4668,-0.0532,statistical,False
CAG,2025-10-10,12.28,2.6771,0.1314,2.6771,-0.347,statistical,False
CAG,2025-10-13,12.36,2.7446,0.6504,2.7446,-1.3618,statistical,False
CAG,2025-10-14,12.51,3.1077,1.4839,3.1077,-1.1377,statistical,False
CAG,2025-10-17,11.87,3.1148,-3.1148,-1.839,-0.5942,statistical,False
CAG,2025-12-04,12.11,3.172,1.1649,3.172,-1.4191,statistical,False
CAG,2025-12-05,12.1,3.4323,-0.4356,3.4323,-0.6876,statistical,False
CAG,2025-12-08,12.19,3.899,0.5241,3.899,0.9948,statistical,False
CAG,2025-12-09,12.08,2.7433,-1.3101,2.7433,1.1887,statistical,False
CAG,2025-12-16,12.21,2.8974,0.6363,2.8974,-1.5689,statistical,False
CAG,2025-12-17,12.4,3.7553,1.3828,3.7553,1.1812,statistical,False
CAG,2025-12-18,12.45,3.5285,0.1057,3.5285,-1.6475,statistical,False
CAG,2025-12-19,12.57,3.7679,0.6467,3.7679,-0.0671,statistical,False
CAG,2025-12-22,12.53,3.01,-0.7272,3.01,0.9262,statistical,False
CAG,2025-12-23,12.63,2.9486,0.5426,2.9486,-0.4877,statistical,False
CAG,2025-12-26,12.18,2.5533,-2.5533,0.1878,-0.5333,statistical,False
CAG,2026-02-19,12.67,2.5174,0.8651,2.5174,1.9374,statistical,False
CAG,2026-02-26,12.98,2.9707,1.3016,2.9707,-0.793,statistical,False
CAG,2026-02-27,13.04,2.7648,-0.0182,2.7648,0.7144,statistical,False
CAG,2026-03-02,13.01,2.5623,-0.7111,2.5623,1.5945,statistical,False
CAG,2026-04-02,13.8,2.9134,1.14,2.9134,-1.3661,statistical,False
CAG,2026-04-21,14.29,2.9422,0.0565,2.9422,-0.0331,statistical,False
CAG,2026-04-23,14.24,3.2695,0.3656,3.2695,1.4132,statistical,False
CAG,2026-04-24,14.31,3.8271,0.0853,3.8271,-0.672,statistical,False
CAG,2026-04-28,14.28,3.0534,0.909,3.0534,0.5708,statistical,False
CAG,2026-05-05,14.76,4.3772,2.1562,4.3772,-0.6261,statistical,False
CAG,2026-05-06,14.78,4.0854,-0.1808,4.0854,-1.0917,statistical,False
CAG,2026-05-07,14.91,4.2647,0.3702,4.2647,-1.4214,statistical,False
CAG,2026-05-08,15.17,4.706,0.943,4.706,-0.8774,statistical,False
CAG,2026-05-11,13.97,3.5846,-3.5846,-1.1085,-1.7637,statistical,False
CAG,2026-06-24,17.52,2.7121,0.6082,2.7121,-0.6009,statistical,False
CAG,2026-06-25,17.56,2.7706,-0.2482,2.7706,1.6461,statistical,False
CAG,2026-06-26,17.66,3.0231,0.0435,3.0231,-1.1569,statistical,False
CAG,2026-06-27,17.54,2.5152,-0.7659,2.5152,-0.565,statistical,False
CAG,2026-06-29,17.65,3.3727,0.7267,3.3727,-0.5309,statistical,False
CAG,2026-06-30,17.87,3.9533,0.4614,3.9533,-1.0275,statistical,False
CAG,2026-07-01,18.47,4.6914,1.7229,4.6914,-1.1119,statistical,False
CAG,2026-07-02,19.31,4.8379,2.0978,4.8379,-0.0803,statistical,False
CAG,2026-07-03,18.98,3.4973,-1.3369,3.4973,-0.7988,statistical,False
CAG,2026-07-04,19.17,3.462,0.0663,3.462,0.3695,statistical,False
CAG,2026-07-05,19.13,3.1872,-0.6532,3.1872,-0.0432,statistical,False
CAG,2026-07-06,19.39,3.602,0.313,3.602,1.819,statistical,False
CAG,2026-07-07,19.18,3.3251,-1.2668,3.3251,-1.027,statistical,False
CAG,2026-07-08,19.14,3.2603,-0.6185,3.2603,1.8741,statistical,False
CAG,2026-07-28,15.53,3.7815,-3.7815,-3.3242,-1.5254,statistical,True
BAYRY,2025-09-11,12.39,3.0831,2.1759,3.0831,0.115,statistical,False
BAYRY,2025-09-12,12.52,3.1197,0.6738,3.1197,1.7258,statistical,False
BAYRY,2025-09-15,12.53,2.7964,-0.0731,2.7964,0.0519,statistical,False
BAYRY,2025-09-18,12.79,2.8344,1.8752,2.8344,1.4982,statistical,False
BAYRY,2025-09-19,12.85,2.5657,0.0257,2.5657,0.5607,statistical,False
BAYRY,2025-10-21,11.85,2.6362,-2.6362,-1.9723,0.8511,statistical,False
BAYRY,2025-10-22,11.52,3.1864,-1.2515,-3.1864,-1.0814,statistical,False
BAYRY,2025-10-23,11.53,2.8283,0.2653,-2.8283,1.1854,statistical,False
BAYRY,2025-10-24,11.35,3.1115,-0.5598,-3.1115,-1.5496,statistical,False
BAYRY,2025-10-27,11.11,3.3524,-0.8039,-3.3524,-0.6517,statistical,False
BAYRY,2025-10-28,11.05,3.062,-0.0153,-3.062,-0.6009,statistical,False
BAYRY,2025-10-29,10.96,2.8456,-0.1453,-2.8456,-0.9946,statistical,False
BAYRY,2025-10-30,10.85,2.742,-0.2037,-2.742,-0.5747,statistical,False
BAYRY,2025-10-31,10.76,2.6892,-0.0588,-2.6892,1.2016,statistical,False
BAYRY,2025-12-30,10.65,2.5189,-0.5809,0.958,2.5189,statistical,False
BAYRY,2026-01-01,10.99,2.7141,1.2962,2.7141,-0.7478,statistical,False
BAYRY,2026-01-08,11.24,3.4411,1.7671,3.4411,0.3577,statistical,False
BAYRY,2026-01-09,11.43,3.5684,0.9517,3.5684,0.2066,statistical,False
BAYRY,2026-04-21,11.28,2.7074,1.5383,2.7074,-0.511,statistical,False
BAYRY,2026-05-31,13.07,4.1052,3.9923,4.1052,-1.4769,statistical,False
BAYRY,2026-06-01,13.28,3.2505,0.1708,3.2505,-1.1036,statistical,True
BAYRY,2026-06-02,13.11,2.6116,-0.7072,2.6116,-1.5456,statistical,False
BAYRY,2026-07-21,15.95,2.8261,0.7292,2.8261,0.2814,statistical,False
BAYRY,2026-07-23,15.95,2.9612,0.7161,2.9612,0.7653,statistical,False
BAYRY,2026-07-26,16.04,3.0824,0.5206,3.0824,0.0961,statistical,False
BAYRY,2026-07-27,16.16,3.3828,0.2509,3.3828,0.7959,statistical,False
BAYRY,2026-07-28,13.43,4.0396,-4.0396,-3.5995,-1.7424,statistical,True
PFE,2025-08-29,28.82,3.3299,-2.3129,-3.3299,-1.0307,statistical,False
PFE,2025-09-02,28.7,2.8815,-0.9426,-2.8815,1.1124,statistical,False
PFE,2025-09-03,28.34,3.032,-0.7338,-3.032,0.4655,statistical,False
PFE,2025-09-04,28.37,2.5472,0.3254,-2.5472,-0.8644,statistical,False
PFE,2025-09-05,28.22,2.5484,-0.0781,-2.5484,-1.685,statistical,False
PFE,2025-09-08,27.8,2.9346,-0.9148,-2.9346,1.2144,statistical,False
PFE,2025-09-09,27.67,2.8467,-0.021,-2.8467,-1.6056,statistical,False
PFE,2025-10-07,25.94,3.1637,-1.2603,-3.1637,0.8065,statistical,False
PFE,2025-10-08,26.12,2.7446,0.9244,-2.7446,0.0674,statistical,False
PFE,2025-10-09,25.84,3.2054,-0.5913,-3.2054,-0.3324,statistical,False
PFE,2025-10-10,25.46,3.9542,-1.0371,-3.9542,0.629,statistical,False
PFE,2025-10-13,25.36,3.7026,0.0577,-3.7026,-1.6156,statistical,False
PFE,2025-10-14,25.5,3.2711,0.9235,-3.2711,0.4497,statistical,False
PFE,2025-10-15,25.66,2.7834,0.9097,-2.7834,-1.8759,statistical,False
PFE,2025-10-16,25.45,3.0272,-0.4976,-3.0272,-0.5503,statistical,False
PFE,2025-10-17,25.36,2.8269,0.0252,-2.8269,-0.5218,statistical,False
PFE,2025-11-28,28.25,2.685,1.4754,2.685,2.0755,statistical,False
PFE,2025-12-02,27.93,2.6459,-0.329,2.6459,0.0043,statistical,False
PFE,2025-12-03,28.28,4.0011,0.4799,4.0011,-1.0243,statistical,False
PFE,2025-12-04,28.41,4.2929,-0.0339,4.2929,-0.8986,statistical,False
PFE,2025-12-05,27.98,2.859,-1.4284,2.859,1.2867,statistical,False
PFE,2026-03-06,27.31,2.6294,1.1326,2.6294,0.7263,statistical,False
PFE,2026-03-09,27.56,2.5283,0.473,2.5283,0.8936,statistical,False
PFE,2026-03-25,28.52,3.4013,1.2718,3.4013,0.3761,statistical,False
PFE,2026-03-26,28.55,3.1395,-0.2089,3.1395,1.025,statistical,False
PFE,2026-03-27,28.53,2.7311,-0.3413,2.7311,-0.6537,statistical,False
SMCI,2025-09-08,25.04,2.6737,0.7428,2.6737,0.0264,statistical,False
SMCI,2025-09-26,24.96,2.6754,2.6754,0.4846,0.949,statistical,False
SMCI,2025-10-27,27.67,2.9521,1.3695,2.9521,-0.9798,statistical,False
SMCI,2025-12-19,28.08,2.5709,1.5444,2.5709,0.4573,statistical,False
SMCI,2026-01-28,27.78,2.5572,1.6807,2.5572,1.7383,statistical,False
SMCI,2026-02-04,25.4,2.6396,-0.9844,-2.6396,-1.0787,statistical,False
SMCI,2026-02-05,24.75,2.9671,-1.0978,-2.9671,0.8995,statistical,False
SMCI,2026-02-06,24.52,2.7397,-0.2436,-2.7397,0.8748,statistical,False
SMCI,2026-03-19,28.27,2.528,-0.2007,2.528,-0.1874,statistical,False
SMCI,2026-03-20,28.91,3.6074,0.9021,3.6074,1.7523,statistical,False
SMCI,2026-03-23,29.88,5.0287,1.6239,5.0287,0.8885,statistical,False
SMCI,2026-03-24,29.41,4.4306,-1.5403,4.4306,0.2237,statistical,False
SMCI,2026-03-25,29.78,5.3575,0.3185,5.3575,-0.3539,statistical,False
SMCI,2026-03-26,29.4,4.2967,-1.217,4.2967,0.5375,statistical,False
SMCI,2026-03-27,29.63,4.7452,0.0666,4.7452,-0.4047,statistical,False
SMCI,2026-03-30,29.46,4.6106,-0.9371,4.6106,1.893,statistical,False
SMCI,2026-03-31,29.2,3.7027,-1.0936,3.7027,1.7381,statistical,False
SMCI,2026-04-13,28.88,2.5043,-2.5043,-0.7226,0.5198,statistical,False
HMC,2025-09-23,24.52,2.7509,0.4043,2.7509,-0.6676,statistical,False
HMC,2025-09-24,24.72,2.8588,0.1405,2.8588,0.9058,statistical,False
HMC,2025-09-25,24.88,2.7649,0.0551,2.7649,-0.614,statistical,False
HMC,2025-09-26,25.03,2.8138,0.0851,2.8138,-0.6478,statistical,False
HMC,2025-09-29,24.95,2.5986,-0.4583,2.5986,-1.2016,statistical,False
HMC,2025-09-30,24.96,2.6156,-0.177,2.6156,0.491,statistical,False
HMC,2025-10-02,25.1,2.5991,0.5958,2.5991,-1.0799,statistical,False
HMC,2025-10-29,26.42,3.0849,2.6291,3.0849,0.6878,statistical,False
HMC,2025-10-30,26.22,2.626,-0.5441,2.626,-0.441,statistical,False
HMC,2025-11-06,27.53,2.7543,1.0378,2.7543,1.456,statistical,False
HMC,2025-12-17,25.88,2.5467,-1.2644,-2.5467,-0.9931,statistical,False
HMC,2026-01-16,27.81,2.8302,0.3246,2.8302,-1.0566,statistical,False
HMC,2026-01-27,28.6,2.5254,1.7562,2.5254,0.724,statistical,False
HMC,2026-02-03,30.01,3.127,1.933,3.127,0.1132,statistical,False
HMC,2026-02-04,30.39,3.3753,0.3502,3.3753,-0.6456,statistical,False
HMC,2026-02-05,29.7,2.5791,-1.6762,2.5791,1.8311,statistical,False
HMC,2026-03-06,31.7,3.4776,1.6303,3.4776,1.3066,statistical,False
HMC,2026-03-09,32.03,3.1908,0.4824,3.1908,0.0424,statistical,False
HMC,2026-03-11,32.17,2.8849,0.8011,2.8849,-0.7128,statistical,False
HMC,2026-04-17,29.62,2.6307,-1.0937,-2.6307,-0.1151,statistical,False
HMC,2026-04-21,28.93,3.1284,-1.7779,-3.1284,1.2424,statistical,False
HMC,2026-04-22,28.56,3.0442,-0.6777,-3.0442,-1.1114,statistical,False
HMC,2026-04-23,28.19,3.0284,-0.615,-3.0284,-1.3681,statistical,False
HMC,2026-04-24,29.08,2.5065,2.5065,-1.8707,-1.0842,statistical,False
HMC,2026-04-30,28.13,2.5114,-0.9935,-2.5114,1.2062,statistical,False
HMC,2026-05-18,26.45,2.774,-2.0294,-2.774,-0.4455,statistical,False
HMC,2026-05-19,25.98,3.1712,-0.7555,-3.1712,-0.0127,statistical,False
HMC,2026-05-26,26.17,2.7277,-0.3919,-2.7277,-1.0121,statistical,False
HMC,2026-07-28,29.1,2.7262,2.7262,1.7064,-1.7088,statistical,True
T,2025-08-26,20.03,2.764,1.6276,2.764,1.0138,statistical,False
T,2025-08-27,20.32,2.9991,1.2827,2.9991,-0.2864,statistical,False
T,2025-08-28,20.65,3.0699,1.3137,3.0699,-0.2101,statistical,False
T,2025-08-29,20.82,2.8885,0.5161,2.8885,-1.3013,statistical,False
T,2025-09-01,20.77,2.5386,-0.5577,2.5386,0.7945,statistical,False
T,2025-09-30,21.36,2.9825,1.4152,2.9825,1.1144,statistical,False
T,2025-10-01,21.19,2.5707,-0.8091,2.5707,-0.3864,statistical,False
T,2025-10-02,21.43,3.0962,0.7325,3.0962,-0.4185,statistical,False
T,2025-10-03,21.47,2.8431,-0.1245,2.8431,0.6011,statistical,False
T,2025-10-06,21.88,3.3546,1.2498,3.3546,-0.0773,statistical,False
T,2025-10-07,21.74,2.6129,-0.8545,2.6129,-0.8413,statistical,False
T,2025-10-15,22.34,2.7561,0.8689,2.7561,-0.9128,statistical,False
T,2025-10-16,22.73,3.6669,1.0051,3.6669,1.373,statistical,False
T,2025-10-17,22.71,3.4873,-0.5068,3.4873,1.0056,statistical,False
T,2025-10-20,22.95,3.6209,0.6097,3.6209,-1.6287,statistical,False
T,2025-10-21,23.27,3.8959,0.8659,3.8959,0.6417,statistical,False
T,2025-10-22,23.52,4.2774,0.4564,4.2774,-0.527,statistical,False
T,2025-10-23,23.96,4.6627,1.211,4.6627,-1.8406,statistical,False
T,2025-10-24,24.15,4.4706,0.047,4.4706,-1.0892,statistical,False
T,2025-10-27,23.66,3.4229,-2.3889,3.4229,-0.367,statistical,False
T,2025-10-28,24.05,3.6208,0.9476,3.6208,-1.3205,statistical,False
T,2025-10-31,24.1,2.5316,0.8763,2.5316,-0.9225,statistical,False
T,2026-02-12,22.23,3.2284,-1.2465,-3.2284,1.8881,statistical,True
T,2026-02-13,21.88,3.2065,-0.7451,-3.2065,-0.5073,statistical,False
T,2026-02-17,21.95,2.5179,-0.309,-2.5179,-1.0347,statistical,False
T,2026-02-20,21.48,2.6099,-1.2584,-2.6099,-0.8153,statistical,False
T,2026-04-02,20.28,2.5128,-2.2173,-2.5128,0.8311,statistical,False
T,2026-05-14,22.09,2.8661,1.7433,2.8661,-0.8629,statistical,False
T,2026-07-28,24.8,3.7243,3.7243,3.6622,-1.9394,statistical,True
