ticker,sector,growth_sleeve,value_sleeve,defensive_value_index,growth_tech_index,roe,roic,debt_to_equity,ev_ebitda,pb_ratio,earnings_stability,interest_coverage,mktcap_to_assets,slope_per_period_roe,slope_per_period_roic,slope_per_period_debt_to_equity,slope_per_period_ev_ebitda,slope_per_period_pb_ratio,slope_per_period_earnings_stability,slope_per_period_interest_coverage,slope_per_period_mktcap_to_assets,recent_vs_early_pct_roe,recent_vs_early_pct_roic,recent_vs_early_pct_debt_to_equity,recent_vs_early_pct_ev_ebitda,recent_vs_early_pct_pb_ratio,recent_vs_early_pct_earnings_stability,recent_vs_early_pct_interest_coverage,recent_vs_early_pct_mktcap_to_assets,latest_value_roe,latest_value_roic,latest_value_debt_to_equity,latest_value_ev_ebitda,latest_value_pb_ratio,latest_value_earnings_stability,latest_value_interest_coverage,latest_value_mktcap_to_assets,pct_change_roe,pct_change_roic,pct_change_debt_to_equity,pct_change_ev_ebitda,pct_change_pb_ratio,pct_change_earnings_stability,pct_change_interest_coverage,pct_change_mktcap_to_assets,total_change_roe,total_change_roic,total_change_debt_to_equity,total_change_ev_ebitda,total_change_pb_ratio,total_change_earnings_stability,total_change_interest_coverage,total_change_mktcap_to_assets,n_obs_roe,n_obs_roic,n_obs_debt_to_equity,n_obs_ev_ebitda,n_obs_pb_ratio,n_obs_earnings_stability,n_obs_interest_coverage,n_obs_mktcap_to_assets,is_recovery_roe,is_recovery_roic,is_recovery_debt_to_equity,is_recovery_ev_ebitda,is_recovery_pb_ratio,is_recovery_earnings_stability,is_recovery_mktcap_to_assets,is_recovery_interest_coverage,is_deteriorating_roe,is_deteriorating_roic,is_deteriorating_debt_to_equity,is_deteriorating_ev_ebitda,is_deteriorating_pb_ratio,is_deteriorating_earnings_stability,is_deteriorating_mktcap_to_assets,is_deteriorating_interest_coverage,strong_trend_roe,strong_trend_roic,strong_trend_debt_to_equity,strong_trend_ev_ebitda,strong_trend_pb_ratio,strong_trend_earnings_stability,strong_trend_mktcap_to_assets,strong_trend_interest_coverage,trend_direction_roe,trend_direction_roic,trend_direction_debt_to_equity,trend_direction_ev_ebitda,trend_direction_pb_ratio,trend_direction_earnings_stability,trend_direction_mktcap_to_assets,trend_direction_interest_coverage,overall_slope_roe,overall_slope_roic,overall_slope_debt_to_equity,overall_slope_ev_ebitda,overall_slope_pb_ratio,overall_slope_earnings_stability,overall_slope_mktcap_to_assets,overall_slope_interest_coverage,recent_vs_early_pct_roe_right,recent_vs_early_pct_roic_right,recent_vs_early_pct_debt_to_equity_right,recent_vs_early_pct_ev_ebitda_right,recent_vs_early_pct_pb_ratio_right,recent_vs_early_pct_earnings_stability_right,recent_vs_early_pct_mktcap_to_assets_right,recent_vs_early_pct_interest_coverage_right,latest_value_roe_right,latest_value_roic_right,latest_value_debt_to_equity_right,latest_value_ev_ebitda_right,latest_value_pb_ratio_right,latest_value_earnings_stability_right,latest_value_mktcap_to_assets_right,latest_value_interest_coverage_right,best_peer_group,best_ret_rank,best_vol_rank,best_sharpe_rank,best_n_peers,avg_beta_to_peers,high_beta_any_group,low_beta_any_group,avg_beta_vs_median,recovery_count,deterioration_count,strong_trend_count,fundamental_signal,peer_signal,beta_signal
MMM,Industrials,,,true,false,0.25,0.12,1.2,,30.64,0.72,8.0,2.261,0.001969309934934935,-0.003121321321321321,0.04007627111122944,,0.22937600100100097,,-1.5325674999999992,0.009047891641641645,0.008878127522195349,-0.5781332395851644,1.8103044496487117,,14.528578654527061,,-0.9332348547440809,1.876825396825397,0.25,0.12,1.2,,30.64,,8.0,2.261,0.7234199760985475,-0.9997114552274693,6.284687969715526,,8.245168283610619,,-0.37789387382722417,0.8493457603627098,0.1417903153153153,-0.2247351351351351,2.7652627066748314,,16.51507207207207,,-61.302699999999966,0.6514481981981984,73,73,70,,73,,41,73,false,false,false,,false,,false,false,false,false,false,,false,,false,false,0.0,0.0,1.0,,1.0,,0.0,1.0,improving,declining,improving,,improving,,improving,declining,0.001969309934934935,-0.003121321321321321,0.04007627111122944,,0.22937600100100097,,0.009047891641641645,-1.5325674999999992,0.008878127522195349,-0.5781332395851644,1.8103044496487117,,14.528578654527061,,1.876825396825397,-0.9332348547440809,0.25,0.12,1.2,,30.64,,2.261,8.0,sector_Industrials,0.5294117647058824,0.7647058823529411,0.5882352941176471,17,1.196003105481061,false,false,0.1937762854539356,0,0,3,STRONG_TREND,PEER_AVERAGE,NEUTRAL_BETA
NTR,Materials,,,false,false,0.07,0.05,0.6,,1.33,0.55,4.0,0.642,0.00786666666666667,0.004089795918367346,-0.0024489795918367367,-7.343314285714288,0.0466122448979592,,,0.043292517006802714,1.702702702702703,0.9880715705765409,-0.01960784313725492,-0.7388482023968043,0.24825337680484416,,,0.33230452674897115,0.07,0.05,0.6,7.5,1.33,,,0.642,110.13333333333337,4.935960591133004,-0.028011204481792742,-0.7813698963305264,0.33192849876471453,,,0.6810058855002674,0.05506666666666669,0.02862857142857142,-0.017142857142857158,-36.71657142857144,0.3262857142857144,,,0.303047619047619,8,8,8,6,8,,,8,false,false,false,false,false,,false,,false,false,false,false,false,,false,,0.0,0.0,0.0,1.0,1.0,,1.0,,improving,improving,declining,declining,improving,,improving,,0.00786666666666667,0.004089795918367346,-0.0024489795918367367,-7.343314285714288,0.0466122448979592,,0.043292517006802714,,1.702702702702703,0.9880715705765409,-0.01960784313725492,-0.7388482023968043,0.24825337680484416,,0.33230452674897115,,0.07,0.05,0.6,7.5,1.33,,0.642,,sector_Materials,0.2857142857142857,0.6428571428571429,0.21428571428571427,14,-1.0992647611334503,false,false,-2.0779311348484324,0,0,3,STRONG_TREND,PEER_LAGGARD,NEUTRAL_BETA
CPB,Consumer Staples,,,true,false,0.2,0.09,1.5,10.0,2.5,0.72,5.0,0.9,-0.010158863074641627,-0.016262424616905583,-0.02112770833333333,,,,-0.14548446613939692,,-0.8288916434252659,-0.9274908481453711,0.0896651062297442,,,,-0.6864700611632708,,0.2,0.09,1.5,,,,5.0,,-0.7539867813530131,-1.0321494063371102,-0.729589928057554,,,,-0.808577335306824,,-0.6908026890756306,-1.1058448739495796,-1.01413,,,,-9.89294369747899,,69,69,49,,,,69,,false,false,true,,,,,false,false,false,false,,,,,false,1.0,1.0,0.0,,,,,1.0,declining,declining,declining,,,,,declining,-0.010158863074641627,-0.016262424616905583,-0.02112770833333333,,,,,-0.14548446613939692,-0.8288916434252659,-0.9274908481453711,0.0896651062297442,,,,,-0.6864700611632708,0.2,0.09,1.5,,,,,5.0,sector_Consumer Staples,0.23076923076923078,0.3076923076923077,0.15384615384615385,13,-1.7054559766926851,false,true,-2.6072494488876004,1,0,3,STRONG_TREND,PEER_LAGGARD,LOW_BETA
MCHP,Information Technology,starlink_supply,,false,true,,,,,6.35,,,1.636,-0.012256501482946124,-0.01164164977755808,-0.013442499999999998,,-0.04569061224489797,,-45.64184733069698,0.0288862925170068,-0.363946633571207,-0.4058094831268689,0.05712815234173946,,6.4223784417106025,,-0.4875708678587004,2.109523809523809,0.2,0.12,1.2,,6.35,,8.0,1.636,-5.552578952966932,-7.343526761353891,-0.5549019607843136,,-3.9485714285714293,,-312.96214767443735,4.027969076076645,-0.8334421008403364,-0.7916321848739495,-0.5377,,-3.198342857142858,,-3103.645618487395,2.022040476190476,69,69,41,,71,,69,71,false,false,true,,true,,false,false,false,false,false,,false,,false,false,1.0,1.0,0.0,,0.0,,1.0,1.0,declining,declining,declining,,declining,,improving,declining,-0.012256501482946124,-0.01164164977755808,-0.013442499999999998,,-0.04569061224489797,,0.0288862925170068,-45.64184733069698,-0.363946633571207,-0.4058094831268689,0.05712815234173946,,6.4223784417106025,,2.109523809523809,-0.4875708678587004,0.2,0.12,1.2,,6.35,,1.636,8.0,growth_tech_index,0.23809523809523808,0.7380952380952381,0.21428571428571427,42,0.39735842856563,false,false,-0.3817736518195007,2,0,4,RECOVERING,PEER_LAGGARD,NEUTRAL_BETA
UAN,Materials,,,false,false,0.2,0.12,0.5,6.0,2.5,0.5,6.0,1.127,,0.020352000000000002,,-2.6283428571428575,,,,0.08907428571428573,,1.0199362041467301,,-0.5531400966183575,,,,0.341860465116279,,0.12,,6.0,,,,1.127,,2.5188118811881193,,-0.6826864564007422,,,,0.5327409432672592,,0.10176000000000002,,-13.141714285714288,,,,0.44537142857142864,,6,,6,,,,6,,false,,false,,,false,,,false,,false,,,false,,,1.0,,1.0,,,1.0,,,improving,,declining,,,improving,,,0.020352000000000002,,-2.6283428571428575,,,0.08907428571428573,,,1.0199362041467301,,-0.5531400966183575,,,0.341860465116279,,,0.12,,6.0,,,1.127,,sector_Materials,0.8571428571428571,0.5,0.9285714285714286,14,-2.524976807909736,false,true,-3.503643181624718,0,0,3,STRONG_TREND,PEER_LEADER,LOW_BETA
BAC,Financials,,,true,false,0.1,0.08,1.1,9.0,1.2,0.75,4.0,0.103,0.0016298562582097954,,-0.011162837336579764,,0.012783340987464434,,,0.0009593617153456341,3.254545454545455,,-0.1540796963946868,,5.106280193236715,,,1.4382022471910114,0.1,,1.1,,1.2,,,0.103,5.665690802348336,,-0.5231428718793157,,2.9757941315081142,,,1.6973322656115066,0.11897950684931506,,-0.7925614508971632,,0.9076172101099748,,,0.06619595835884876,74,,72,,72,,,70,false,,false,,false,,false,,false,,false,,false,,false,,0.0,,1.0,,1.0,,0.0,,improving,,declining,,improving,,improving,,0.0016298562582097954,,-0.011162837336579764,,0.012783340987464434,,0.0009593617153456341,,3.254545454545455,,-0.1540796963946868,,5.106280193236715,,1.4382022471910114,,0.1,,1.1,,1.2,,0.103,,defensive_index,0.7654320987654321,0.7777777777777778,0.8518518518518519,81,-0.261309487751835,false,true,-1.0863299132247717,0,0,2,NEUTRAL,PEER_LEADER,LOW_BETA
MKC,Consumer Staples,,,true,false,0.22,0.12,0.9,,1.96,0.82,8.0,1.054,-0.0011691460055096414,-0.0000409917355371901,-0.018415112160566707,,,,-0.01409744195198741,,-0.10605444941080856,0.3129102844638948,-0.29161747343565536,,,,0.44456482484651494,,0.22,0.12,0.9,,,,8.0,,-0.13105237154150193,-0.014783904619970202,-0.46602661142538443,,,,-0.07945612031009129,,-0.03858181818181817,-0.0013527272727272735,-0.6076987012987013,,,,-0.4652155844155845,,34,34,34,,,,34,,false,true,false,,,,,true,false,false,false,,,,,false,0.0,0.0,1.0,,,,,0.0,declining,declining,declining,,,,,declining,-0.0011691460055096414,-0.0000409917355371901,-0.018415112160566707,,,,,-0.01409744195198741,-0.10605444941080856,0.3129102844638948,-0.29161747343565536,,,,,0.44456482484651494,0.22,0.12,0.9,,,,,8.0,defensive_index,0.024691358024691357,0.7283950617283951,0.012345679012345678,81,-0.2644574759142731,false,true,-1.1662509481091887,2,0,1,RECOVERING,PEER_LAGGARD,LOW_BETA
HMC,Consumer Discretionary,,,true,false,0.08,0.06,0.5,6.5,0.6,0.75,20.0,0.24,0.01595314285714286,0.011561142857142855,0.024171428571428576,1.1050285714285715,0.10100571428571428,,,0.04035428571428572,4.751196172248804,4.131428571428571,0.1963788300835655,107.33333333333334,29.45,,,29.374999999999996,0.08,0.06,0.5,6.5,0.6,,,0.24,31.90628571428572,17.516883116883115,0.336649423000398,138.12857142857143,50.50285714285714,,,50.44285714285715,0.0797657142857143,0.05780571428571427,0.12085714285714289,5.525142857142857,0.5050285714285714,,,0.2017714285714286,6,6,6,6,6,,,6,false,false,false,false,false,,false,,false,false,false,false,false,,false,,1.0,1.0,1.0,1.0,1.0,,1.0,,improving,improving,improving,improving,improving,,improving,,0.01595314285714286,0.011561142857142855,0.024171428571428576,1.1050285714285715,0.10100571428571428,,0.04035428571428572,,4.751196172248804,4.131428571428571,0.1963788300835655,107.33333333333334,29.45,,29.374999999999996,,0.08,0.06,0.5,6.5,0.6,,0.24,,sector_Consumer Discretionary,0.5714285714285714,0.7142857142857143,0.2857142857142857,7,-0.3967507724907566,false,true,-1.1271021564560852,0,0,6,STRONG_TREND,PEER_AVERAGE,LOW_BETA
MTSI,Information Technology,starlink_supply,,false,true,,,,,13.72,,,3.89,0.0006635428893375243,-0.001615562545972424,-0.03858444247264122,,0.10337371492081134,,-0.5619952736435198,0.050739998398801923,-4.526236881559221,-0.6321992439404047,-0.6749347258485641,,59.356347438752785,,-0.8289841796439801,23.474522292993633,0.12,0.1,0.4,,13.72,,10.0,3.89,-0.19958809863978305,-0.410004742299324,-0.6786208475087652,,24.692506802946838,,-0.3914524775784906,17.713963938043275,0.03782194469223889,-0.09208706512042816,-0.8102732919254656,,6.099049180327869,,-32.03373059768062,2.9936599055293134,58,58,22,,60,,58,60,false,false,false,,false,,false,false,true,false,false,,false,,false,false,0.0,0.0,1.0,,1.0,,1.0,1.0,improving,declining,declining,,improving,,improving,declining,0.0006635428893375243,-0.001615562545972424,-0.03858444247264122,,0.10337371492081134,,0.050739998398801923,-0.5619952736435198,-4.526236881559221,-0.6321992439404047,-0.6749347258485641,,59.356347438752785,,23.474522292993633,-0.8289841796439801,0.12,0.1,0.4,,13.72,,3.89,10.0,growth_tech_index,0.40476190476190477,0.2619047619047619,0.35714285714285715,42,2.180768243527956,true,false,1.4016361631428256,0,1,4,STRONG_TREND,PEER_AVERAGE,HIGH_BETA
FMC,Materials,,,false,false,0.05,0.04,1.2,,0.83,0.5,3.0,0.119,-0.006042434502830216,-0.0034409072998671164,0.009162751920869025,,,,,,-0.6865203761755486,-0.8399679935987198,1.3121387283236992,,,,,,0.05,0.04,1.2,,,,,,-4.842131486466652,-1.1074542986879659,1.0888096432476904,,,,,,-0.42901284970094533,-0.24430441829056526,0.5955788748564866,,,,,,72,72,66,,,,,,false,false,false,,,,,,false,false,false,,,,,,0.0,0.0,0.0,,,,,,declining,declining,improving,,,,,,-0.006042434502830216,-0.0034409072998671164,0.009162751920869025,,,,,,-0.6865203761755486,-0.8399679935987198,1.3121387283236992,,,,,,0.05,0.04,1.2,,,,,,sector_Materials,0.0,0.21428571428571427,0.07142857142857142,14,4.667963088876211,true,false,3.6892967151612286,0,0,0,NEUTRAL,PEER_LAGGARD,HIGH_BETA
