ticker,sector,industry,value_sleeve,defensive_value_index,growth_tech_index,dual_pass_member,roe,roic,debt_to_equity,ev_ebitda,pb_ratio,mktcap_to_assets,earnings_stability,buffett_pass,trifecta_pass,dual_pass,failed_legs,n_failed_legs,candidacy,decision,exclude_reasons,defensive_score
TDG,Industrials,Aerospace & Defense,,False,True,False,0.0,0.15,5.0,20.0,50.0,3.0,0.75,False,False,False,"roe,de,ev,pb,mca",5,EXCLUDE,AVOID,,0.2107083333333334
FANG,Energy,Oil & Gas E&P,,True,False,False,,,,,1.55,1.026,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.17232
VAL,Energy,Oil & Gas Drilling,,False,True,False,,,,,1.69,1.193,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.13386
TDW,Energy,Oil & Gas Equipment,,False,True,False,,,,,2.71,0.926,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.12072
PSX,Energy,Oil & Gas Refining,,True,False,False,,,,,2.95,1.122,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.07103999999999998
BA,Industrials,Aerospace & Defense,,False,True,False,0.0,0.02,5.0,,27.43,,0.4,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0484
STLD,Materials,Steel,,True,False,False,,,,,3.87,2.016,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
XBI,Health Care,ETF—Biotech,,False,True,False,,,,,,,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
SPCX,Industrials,Aerospace & Defense,,False,True,False,,,,,18.38,36.053,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
VLO,Energy,Oil & Gas Refining,,True,False,False,,,,,3.85,1.414,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
MPC,Energy,Oil & Gas Refining,,True,False,False,,,,,5.48,1.407,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
RKLB,Industrials,Aerospace & Defense,,False,True,False,,,,,16.35,16.076,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
ASTS,Communication Services,Telecom Services,,False,True,False,,,,,8.33,9.011,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
BKSY,Industrials,Aerospace & Defense,,False,True,False,,,,,10.41,1.338,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
IRDM,Communication Services,Telecom Services,,False,True,False,,,,,10.48,1.65,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
GD,Industrials,Aerospace & Defense,,False,True,False,,,,,3.82,1.864,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
GSAT,Communication Services,Telecom Services,,False,True,False,,,,,31.13,7.126,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
NOC,Industrials,Aerospace & Defense,,False,True,False,,,,,4.43,1.685,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
SATS,Communication Services,Telecom/Satellite,,False,True,False,,,,,5.34,1.506,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
BX,Financials,Capital Markets,,False,False,False,,,,,11.43,4.009,,False,False,False,"roe,roic,de,ev,pb,mca",6,EXCLUDE,AVOID,,0.0
